takt;q1;q2;q2p
0;267.000000;-12.000000;1.120100
1;519.000000;-21.000000;2.240197
2;756.000000;-16.000000;3.360288
3;858.000000;-21.000000;4.480368
4;893.000000;-23.000000;5.600435
5;795.000000;-19.000000;6.720485
6;641.000000;-13.000000;7.840516
7;433.000000;-6.000000;8.960524
8;142.000000;5.000000;10.080504
9;-156.000000;17.000000;11.200457
10;-489.000000;29.000000;12.320375
11;-830.000000;43.000000;13.440258
12;-1154.000000;56.000000;14.560101
13;-1496.000000;66.000000;15.679900
14;-1823.000000;72.000000;16.799654
15;-2063.000000;82.000000;17.919357
16;-2239.000000;89.000000;19.039009
17;-2353.000000;94.000000;20.158604
18;-2375.000000;95.000000;21.278137
19;-2347.000000;95.000000;22.397608
20;-2254.000000;92.000000;23.517014
21;-2121.000000;86.000000;24.636349
22;-1983.000000;81.000000;25.755613
23;-1807.000000;74.000000;26.874800
24;-1623.000000;66.000000;27.993906
25;-1452.000000;59.000000;29.112932
26;-1271.000000;54.000000;30.231871
27;-1092.000000;51.000000;31.350721
28;-937.000000;51.000000;32.469479
29;-809.000000;45.000000;33.588139
30;-740.000000;43.000000;34.706699
31;-733.000000;42.000000;35.825161
32;-762.000000;43.000000;36.943516
33;-845.000000;46.000000;38.061760
34;-956.000000;50.000000;39.179893
35;-1096.000000;55.000000;40.297909
36;-1272.000000;62.000000;41.415806
37;-1452.000000;69.000000;42.533585
38;-1642.000000;77.000000;43.651237
39;-1834.000000;84.000000;44.768761
40;-2024.000000;91.000000;45.886150
41;-2222.000000;94.000000;47.003407
42;-2389.000000;96.000000;48.120525
43;-2525.000000;102.000000;49.237499
44;-2622.000000;105.000000;50.354332
45;-2658.000000;107.000000;51.471012
46;-2682.000000;108.000000;52.587540
47;-2647.000000;108.000000;53.703915
48;-2582.000000;105.000000;54.820129
49;-2501.000000;103.000000;55.936184
50;-2396.000000;98.000000;57.052071
51;-2299.000000;94.000000;58.167789
52;-2192.000000;91.000000;59.283340
53;-2075.000000;87.000000;60.398712
54;-1975.000000;85.000000;61.513908
55;-1867.000000;84.000000;62.628922
56;-1802.000000;85.000000;63.743748
57;-1752.000000;83.000000;64.858391
58;-1730.000000;83.000000;65.972839
59;-1757.000000;83.000000;67.087090
60;-1807.000000;85.000000;68.201149
61;-1895.000000;88.000000;69.315002
62;-1992.000000;92.000000;70.428650
63;-2101.000000;95.000000;71.542091
64;-2222.000000;101.000000;72.655327
