takt;q1;q2;q2p
0;248.000000;-10.000000;0.000000
1;489.000000;-19.000000;0.000000
2;689.000000;-16.000000;0.000000
3;687.000000;-17.000000;0.000000
4;569.000000;-12.000000;0.000000
5;346.000000;-4.000000;0.000000
6;61.000000;6.000000;0.000000
7;-239.000000;16.000000;0.000000
8;-549.000000;28.000000;0.000000
9;-859.000000;39.000000;0.000000
10;-1151.000000;47.000000;0.000000
11;-1351.000000;54.000000;0.000000
12;-1479.000000;59.000000;0.000000
13;-1498.000000;60.000000;0.000000
14;-1447.000000;59.000000;0.000000
15;-1329.000000;54.000000;0.000000
16;-1200.000000;49.000000;0.000000
17;-1068.000000;44.000000;0.000000
18;-940.000000;39.000000;0.000000
19;-821.000000;35.000000;0.000000
20;-710.000000;34.000000;0.000000
21;-625.000000;34.000000;0.000000
22;-590.000000;32.000000;0.000000
23;-575.000000;31.000000;0.000000
24;-579.000000;31.000000;0.000000
25;-620.000000;33.000000;0.000000
26;-681.000000;34.000000;0.000000
27;-757.000000;38.000000;0.000000
28;-848.000000;42.000000;0.000000
29;-942.000000;45.000000;0.000000
30;-1027.000000;46.000000;0.000000
31;-1118.000000;47.000000;0.000000
32;-1172.000000;47.000000;0.000000
33;-1199.000000;48.000000;0.000000
34;-1212.000000;49.000000;0.000000
35;-1187.000000;49.000000;0.000000
36;-1133.000000;46.000000;0.000000
37;-1066.000000;44.000000;0.000000
38;-994.000000;41.000000;0.000000
39;-916.000000;38.000000;0.000000
40;-847.000000;35.000000;0.000000
41;-785.000000;35.000000;0.000000
42;-733.000000;36.000000;0.000000
43;-732.000000;37.000000;0.000000
44;-738.000000;37.000000;0.000000
45;-752.000000;38.000000;0.000000
46;-781.000000;39.000000;0.000000
47;-818.000000;40.000000;0.000000
48;-856.000000;41.000000;0.000000
49;-896.000000;42.000000;0.000000
50;-935.000000;42.000000;0.000000
51;-975.000000;42.000000;0.000000
52;-1013.000000;42.000000;0.000000
53;-1026.000000;42.000000;0.000000
54;-1038.000000;43.000000;0.000000
55;-1051.000000;43.000000;0.000000
56;-1048.000000;43.000000;0.000000
57;-1035.000000;43.000000;0.000000
58;-1020.000000;42.000000;0.000000
59;-1007.000000;41.000000;0.000000
60;-995.000000;41.000000;0.000000
61;-979.000000;41.000000;0.000000
62;-966.000000;41.000000;0.000000
63;-960.000000;41.000000;0.000000
64;-956.000000;41.000000;0.000000
65;-955.000000;41.000000;0.000000
66;-957.000000;41.000000;0.000000
67;-960.000000;41.000000;0.000000
68;-966.000000;41.000000;0.000000
69;-974.000000;41.000000;0.000000
70;-983.000000;41.000000;0.000000
71;-992.000000;41.000000;0.000000
72;-1000.000000;41.000000;0.000000
73;-1006.000000;41.000000;0.000000
74;-1012.000000;41.000000;0.000000
75;-1015.000000;41.000000;0.000000
76;-1018.000000;41.000000;0.000000
77;-1019.000000;41.000000;0.000000
78;-1020.000000;41.000000;0.000000
79;-1018.000000;41.000000;0.000000
80;-1015.000000;41.000000;0.000000
81;-1011.000000;41.000000;0.000000
82;-1007.000000;41.000000;0.000000
83;-1002.000000;41.000000;0.000000
84;-997.000000;41.000000;0.000000
85;-991.000000;41.000000;0.000000
86;-987.000000;41.000000;0.000000
87;-985.000000;41.000000;0.000000
88;-984.000000;41.000000;0.000000
