takt;q1;q2;q2p
0;253.000000;-10.000000;89.326149
1;495.000000;-14.000000;176.967178
2;516.000000;6.000000;261.269806
3;157.000000;24.000000;340.643616
4;-668.000000;59.000000;413.591278
5;-1893.000000;107.000000;478.736664
6;-3476.000000;170.000000;534.850830
7;-5249.000000;241.000000;580.875183
8;-7192.000000;320.000000;615.941528
9;-9155.000000;394.000000;639.388306
10;-11162.000000;468.000000;650.773193
11;-13106.000000;532.000000;649.881470
12;-14636.000000;594.000000;636.729858
13;-15788.000000;641.000000;611.566528
14;-16469.000000;672.000000;574.866211
15;-16718.000000;681.000000;527.321106
16;-16609.000000;677.000000;469.828308
17;-16166.000000;661.000000;403.472321
18;-15454.000000;631.000000;329.505005
19;-14490.000000;594.000000;249.321686
20;-13264.000000;543.000000;164.434998
21;-11804.000000;482.000000;76.446297
22;-10140.000000;416.000000;-12.984548
23;-8373.000000;343.000000;-102.170441
24;-6512.000000;266.000000;-189.428909
25;-4525.000000;185.000000;-273.113892
26;-2528.000000;103.000000;-351.646637
27;-495.000000;20.000000;-423.545685
28;1558.000000;-60.000000;-487.454681
29;3569.000000;-139.000000;-542.168030
30;5564.000000;-215.000000;-586.653503
31;7524.000000;-281.000000;-620.071960
32;9250.000000;-352.000000;-641.792969
33;10731.000000;-413.000000;-651.406738
34;11952.000000;-460.000000;-648.731934
35;12924.000000;-499.000000;-633.819031
36;13621.000000;-527.000000;-606.949280
37;14020.000000;-543.000000;-568.629578
38;14138.000000;-548.000000;-519.582764
39;13983.000000;-542.000000;-460.734192
40;13586.000000;-526.000000;-393.193970
41;12957.000000;-501.000000;-318.236206
42;12095.000000;-467.000000;-237.275024
43;11014.000000;-423.000000;-151.837692
44;9741.000000;-372.000000;-63.535976
45;8269.000000;-310.000000;25.964331
46;6611.000000;-246.000000;114.974823
47;4845.000000;-174.000000;201.816345
48;2931.000000;-96.000000;284.850647
49;940.000000;-17.000000;362.511322
50;-1077.000000;66.000000;433.333282
51;-3140.000000;150.000000;495.980530
52;-5149.000000;231.000000;549.271240
53;-7192.000000;308.000000;592.200012
54;-9171.000000;372.000000;623.957153
55;-10945.000000;446.000000;643.943420
56;-12423.000000;505.000000;651.781860
57;-13548.000000;552.000000;647.324646
58;-14411.000000;587.000000;630.655762
59;-14992.000000;612.000000;602.089661
60;-15265.000000;625.000000;562.165344
61;-15283.000000;626.000000;511.635895
62;-15083.000000;617.000000;451.454559
63;-14686.000000;601.000000;382.756622
64;-14073.000000;575.000000;306.838074
65;-13245.000000;541.000000;225.131119
66;-12191.000000;498.000000;139.177094
67;-10894.000000;445.000000;50.597542
68;-9426.000000;384.000000;-38.936527
69;-7820.000000;319.000000;-127.736069
70;-6045.000000;247.000000;-214.125900
71;-4128.000000;169.000000;-296.476288
72;-2174.000000;88.000000;-373.233734
73;-176.000000;7.000000;-442.949921
74;1873.000000;-74.000000;-504.310028
75;3874.000000;-155.000000;-556.156555
76;5852.000000;-233.000000;-597.511353
77;7825.000000;-299.000000;-627.594421
78;9591.000000;-368.000000;-645.838074
79;11086.000000;-426.000000;-651.898315
80;12309.000000;-475.000000;-645.660767
81;13275.000000;-513.000000;-627.243042
82;13923.000000;-539.000000;-596.992615
83;14252.000000;-552.000000;-555.480225
84;14276.000000;-554.000000;-503.488861
85;14007.000000;-544.000000;-441.999420
86;13503.000000;-523.000000;-372.171814
87;12769.000000;-493.000000;-295.323334
88;11800.000000;-455.000000;-212.903717
89;10642.000000;-408.000000;-126.467743
90;9284.000000;-353.000000;-37.646004
91;7739.000000;-290.000000;51.885910
92;6051.000000;-224.000000;140.439011
93;4238.000000;-149.000000;226.342804
94;2292.000000;-70.000000;307.976715
95;315.000000;9.000000;383.800781
96;-1697.000000;92.000000;452.384583
