takt;q1;q2;q2p
0;248.000000;-10.000000;133.461746
1;494.000000;-10.000000;261.269775
2;307.000000;7.000000;378.009888
3;-323.000000;43.000000;478.736694
4;-1476.000000;94.000000;559.183167
5;-3186.000000;155.000000;615.941528
6;-5240.000000;239.000000;646.607300
7;-7516.000000;328.000000;649.881470
8;-9792.000000;415.000000;625.625305
9;-12063.000000;494.000000;574.866272
10;-14001.000000;566.000000;499.754700
11;-15322.000000;621.000000;403.472473
12;-15906.000000;646.000000;290.098267
13;-15771.000000;640.000000;164.434906
14;-14991.000000;607.000000;31.805719
15;-13535.000000;550.000000;-102.170822
16;-11502.000000;467.000000;-231.819199
17;-9028.000000;366.000000;-351.647217
18;-6151.000000;250.000000;-456.578583
19;-3042.000000;124.000000;-542.168396
20;156.000000;-6.000000;-604.790833
21;3392.000000;-132.000000;-641.793091
22;6534.000000;-249.000000;-651.607666
23;9236.000000;-355.000000;-633.818848
24;11525.000000;-442.000000;-589.180176
25;13153.000000;-508.000000;-519.582581
26;14099.000000;-550.000000;-427.974487
27;14444.000000;-562.000000;-318.236481
28;14159.000000;-551.000000;-195.017319
29;13248.000000;-515.000000;-63.536846
30;11736.000000;-454.000000;70.635185
31;9686.000000;-368.000000;201.814957
32;7159.000000;-268.000000;324.445435
33;4323.000000;-153.000000;433.331757
34;1232.000000;-29.000000;523.861267
35;-1954.000000;95.000000;592.198914
36;-5102.000000;220.000000;635.449829
37;-8236.000000;332.000000;651.781799
38;-11034.000000;446.000000;640.502869
39;-13256.000000;535.000000;602.090820
40;-14818.000000;600.000000;538.172852
41;-15745.000000;638.000000;451.456665
42;-16033.000000;650.000000;345.615784
43;-15663.000000;635.000000;225.133850
44;-14677.000000;595.000000;95.114754
45;-13126.000000;533.000000;-38.933620
46;-11074.000000;449.000000;-171.332672
47;-8632.000000;348.000000;-296.473694
48;-5867.000000;237.000000;-409.055450
49;-2896.000000;116.000000;-504.308685
50;207.000000;-3.000000;-578.198303
51;3286.000000;-127.000000;-627.594116
52;6291.000000;-241.000000;-650.403687
53;8974.000000;-346.000000;-645.660706
54;11259.000000;-431.000000;-613.566101
55;12983.000000;-500.000000;-555.479492
56;14054.000000;-548.000000;-473.861542
57;14481.000000;-562.000000;-372.169739
58;14273.000000;-555.000000;-254.712021
59;13450.000000;-524.000000;-126.464119
60;12052.000000;-467.000000;7.141075
61;10159.000000;-388.000000;140.443756
62;7790.000000;-294.000000;267.796936
63;5087.000000;-183.000000;383.805634
64;2132.000000;-65.000000;483.555481
65;-937.000000;55.000000;562.820862
