takt;q1;q2;q2p
0;252.000000;-11.000000;2.240197
1;497.000000;-19.000000;4.480368
2;716.000000;-15.000000;6.720486
3;753.000000;-16.000000;8.960525
4;630.000000;-9.000000;11.200457
5;423.000000;-2.000000;13.440256
6;124.000000;8.000000;15.679898
7;-219.000000;20.000000;17.919353
8;-570.000000;34.000000;20.158598
9;-903.000000;47.000000;22.397606
10;-1221.000000;59.000000;24.636349
11;-1528.000000;64.000000;26.874802
12;-1755.000000;70.000000;29.112936
13;-1889.000000;75.000000;31.350727
14;-1945.000000;79.000000;33.588150
15;-1928.000000;79.000000;35.825172
16;-1884.000000;77.000000;38.061775
17;-1810.000000;75.000000;40.297924
18;-1726.000000;71.000000;42.533600
19;-1643.000000;68.000000;44.768772
20;-1574.000000;66.000000;47.003414
21;-1508.000000;66.000000;49.237499
22;-1457.000000;72.000000;51.471008
23;-1458.000000;72.000000;53.703903
24;-1488.000000;73.000000;55.936169
25;-1564.000000;76.000000;58.167770
26;-1665.000000;80.000000;60.398689
27;-1783.000000;85.000000;62.628891
28;-1905.000000;90.000000;64.858353
29;-2024.000000;95.000000;67.087051
30;-2146.000000;99.000000;69.314957
31;-2259.000000;104.000000;71.542046
32;-2365.000000;107.000000;73.768288
33;-2461.000000;109.000000;75.993660
34;-2549.000000;109.000000;78.218132
35;-2629.000000;109.000000;80.441681
36;-2697.000000;109.000000;82.664284
37;-2740.000000;112.000000;84.885910
38;-2779.000000;115.000000;87.106537
39;-2802.000000;119.000000;89.326134
40;-2821.000000;121.000000;91.544678
41;-2831.000000;123.000000;93.762138
42;-2834.000000;124.000000;95.978493
43;-2833.000000;125.000000;98.193718
44;-2827.000000;125.000000;100.407776
45;-2819.000000;127.000000;102.620651
46;-2827.000000;129.000000;104.832314
47;-2854.000000;129.000000;107.042740
48;-2898.000000;131.000000;109.251900
49;-2968.000000;134.000000;111.459778
50;-3047.000000;137.000000;113.666328
51;-3133.000000;141.000000;115.871544
52;-3221.000000;144.000000;118.075386
53;-3308.000000;148.000000;120.277840
54;-3388.000000;151.000000;122.478867
55;-3461.000000;154.000000;124.678452
56;-3523.000000;157.000000;126.876564
57;-3580.000000;159.000000;129.073181
58;-3627.000000;161.000000;131.268265
