takt;q1;q2;q2p
0;258.000000;-10.000000;1909.622803
1;382.000000;-12.000000;3791.654297
2;226.000000;-6.000000;5618.901855
3;-94.000000;3.000000;7364.963379
4;-510.000000;21.000000;9004.611328
5;-924.000000;39.000000;10514.155273
6;-1370.000000;57.000000;11871.784180
7;-1918.000000;80.000000;13057.881836
8;-2543.000000;106.000000;14055.311523
9;-3279.000000;134.000000;14849.661133
10;-4099.000000;168.000000;15429.454102
11;-4964.000000;203.000000;15786.311523
12;-5834.000000;239.000000;15915.079102
13;-6691.000000;274.000000;15813.895508
14;-7513.000000;308.000000;15484.222656
15;-8344.000000;342.000000;14930.823242
16;-9187.000000;376.000000;14161.694336
17;-9985.000000;407.000000;13187.948242
18;-10673.000000;436.000000;12023.655273
19;-11237.000000;459.000000;10685.637695
20;-11678.000000;477.000000;9193.227539
21;-11991.000000;490.000000;7567.987793
22;-12205.000000;499.000000;5833.401367
23;-12308.000000;503.000000;4014.530273
24;-12293.000000;503.000000;2137.655029
25;-12136.000000;497.000000;229.893478
26;-11842.000000;485.000000;-1681.189697
27;-11410.000000;466.000000;-3567.981934
28;-10832.000000;442.000000;-5403.221680
29;-10118.000000;413.000000;-7160.392578
30;-9257.000000;378.000000;-8814.106445
31;-8234.000000;336.000000;-10340.467773
32;-7056.000000;288.000000;-11717.423828
33;-5740.000000;234.000000;-12925.080078
34;-4386.000000;179.000000;-13945.986328
35;-3014.000000;123.000000;-14765.392578
36;-1595.000000;65.000000;-15371.459961
37;-113.000000;4.000000;-15755.431641
38;1358.000000;-55.000000;-15911.757812
39;2782.000000;-113.000000;-15838.180664
40;4172.000000;-171.000000;-15535.763672
41;5533.000000;-226.000000;-15008.874023
42;6833.000000;-277.000000;-14265.126953
43;8004.000000;-325.000000;-13315.268555
44;9027.000000;-368.000000;-12173.021484
45;9944.000000;-405.000000;-10854.890625
46;10761.000000;-438.000000;-9379.920898
47;11425.000000;-464.000000;-7769.423340
48;11897.000000;-483.000000;-6046.668457
49;12178.000000;-495.000000;-4236.547363
50;12290.000000;-500.000000;-2365.213623
51;12254.000000;-499.000000;-459.705811
52;12060.000000;-492.000000;1452.444214
53;11707.000000;-477.000000;3343.608154
54;11199.000000;-456.000000;5186.461914
55;10540.000000;-430.000000;6954.377441
56;9728.000000;-396.000000;8621.812500
57;8766.000000;-357.000000;10164.672852
58;7632.000000;-310.000000;11560.667969
59;6362.000000;-259.000000;12789.625977
60;5039.000000;-205.000000;13833.791992
61;3676.000000;-149.000000;14678.077148
62;2240.000000;-90.000000;15310.284180
63;733.000000;-29.000000;15721.278320
64;-752.000000;31.000000;15905.120117
65;-2191.000000;90.000000;15859.154297
66;-3610.000000;148.000000;15584.044922
67;-4996.000000;204.000000;15083.767578
68;-6293.000000;256.000000;14365.548828
69;-7463.000000;305.000000;13439.767578
70;-8535.000000;349.000000;12319.799805
71;-9534.000000;389.000000;11021.827148
72;-10392.000000;423.000000;9564.603516
73;-11058.000000;451.000000;7969.191406
74;-11542.000000;472.000000;6258.636230
75;-11848.000000;484.000000;4457.652344
76;-12003.000000;490.000000;2592.262451
77;-12010.000000;492.000000;689.418091
78;-11866.000000;486.000000;-1223.387451
79;-11580.000000;474.000000;-3118.516846
80;-11145.000000;455.000000;-4968.588379
81;-10561.000000;431.000000;-6746.870605
82;-9817.000000;400.000000;-8427.670898
83;-8899.000000;363.000000;-9986.703125
84;-7810.000000;319.000000;-11401.442383
85;-6565.000000;268.000000;-12651.447266
86;-5219.000000;213.000000;-13718.657227
87;-3846.000000;157.000000;-14587.652344
88;-2438.000000;100.000000;-15245.877930
89;-978.000000;40.000000;-15683.822266
90;514.000000;-21.000000;-15895.158203
91;1981.000000;-80.000000;-15876.832031
92;3396.000000;-138.000000;-15629.109375
93;4777.000000;-195.000000;-15155.568359
94;6115.000000;-249.000000;-14463.051758
95;7356.000000;-298.000000;-13561.564453
96;8446.000000;-343.000000;-12464.132812
97;9401.000000;-383.000000;-11186.613281
98;10251.000000;-417.000000;-9747.462891
99;10984.000000;-446.000000;-8167.475586
100;11544.000000;-469.000000;-6469.480469
101;11912.000000;-484.000000;-4678.010742
102;12093.000000;-492.000000;-2818.950439
103;12105.000000;-493.000000;-919.160583
104;11959.000000;-488.000000;993.909851
105;11658.000000;-475.000000;2892.619629
106;11198.000000;-457.000000;4749.535645
107;10589.000000;-432.000000;6537.827148
108;9831.000000;-401.000000;8231.657227
109;8921.000000;-363.000000;9806.551758
110;7854.000000;-319.000000;11239.754883
111;6631.000000;-270.000000;12510.561523
112;5325.000000;-217.000000;13600.607422
113;3972.000000;-162.000000;14494.145508
114;2563.000000;-104.000000;15178.263672
115;1077.000000;-44.000000;15643.078125
116;-416.000000;16.000000;15881.873047
117;-1860.000000;76.000000;15891.197266
118;-3283.000000;134.000000;15670.917969
119;-4683.000000;191.000000;15224.215820
120;-5999.000000;244.000000;14557.546875
121;-7192.000000;293.000000;13680.541992
122;-8279.000000;338.000000;12605.873047
123;-9289.000000;379.000000;11349.068359
124;-10178.000000;415.000000;9928.285156
125;-10889.000000;444.000000;8364.053711
126;-11416.000000;466.000000;6678.973145
127;-11770.000000;481.000000;4897.391602
128;-11964.000000;488.000000;3045.049561
129;-12004.000000;491.000000;1148.711060
130;-11893.000000;486.000000;-764.224609
131;-11638.000000;476.000000;-2666.118164
132;-11255.000000;460.000000;-4529.490234
133;-10720.000000;437.000000;-6327.417969
134;-10024.000000;409.000000;-8033.923828
