takt;q1;q2;q2p
0;224.000000;-9.000000;2180.814209
1;368.000000;-11.000000;4320.487793
2;357.000000;-11.000000;6378.657227
3;191.000000;-6.000000;8316.494141
4;-142.000000;8.000000;10097.443359
5;-567.000000;27.000000;11687.907227
6;-1125.000000;49.000000;13057.881836
7;-1812.000000;77.000000;14181.523438
8;-2579.000000;108.000000;15037.634766
9;-3451.000000;143.000000;15610.066406
10;-4379.000000;181.000000;15888.017578
11;-5358.000000;220.000000;15866.246094
12;-6391.000000;262.000000;15545.163086
13;-7406.000000;302.000000;14930.824219
14;-8390.000000;341.000000;14034.819336
15;-9327.000000;379.000000;12874.050781
16;-10162.000000;413.000000;11470.417969
17;-10924.000000;444.000000;9850.398438
18;-11545.000000;469.000000;8044.555664
19;-11986.000000;487.000000;6086.955078
20;-12266.000000;498.000000;4014.526367
21;-12351.000000;502.000000;1866.364624
22;-12276.000000;500.000000;-317.005554
23;-12040.000000;491.000000;-2494.395508
24;-11641.000000;474.000000;-4624.729492
25;-11096.000000;452.000000;-6667.819336
26;-10404.000000;423.000000;-8585.123047
27;-9572.000000;388.000000;-10340.470703
28;-8604.000000;347.000000;-11900.749023
29;-7470.000000;301.000000;-13236.523438
30;-6179.000000;249.000000;-14322.594727
31;-4763.000000;191.000000;-15138.475586
32;-3233.000000;128.000000;-15668.773438
33;-1567.000000;62.000000;-15903.484375
34;162.000000;-7.000000;-15838.181641
35;1898.000000;-77.000000;-15474.096680
36;3628.000000;-146.000000;-14818.097656
37;5293.000000;-212.000000;-13882.557617
38;6857.000000;-275.000000;-12685.126953
39;8279.000000;-333.000000;-11248.393555
40;9516.000000;-383.000000;-9599.461914
41;10565.000000;-427.000000;-7769.438965
42;11388.000000;-460.000000;-5792.847168
43;11975.000000;-484.000000;-3706.974854
44;12362.000000;-493.000000;-1551.171265
45;12513.000000;-491.000000;633.894836
46;12423.000000;-480.000000;2807.002686
47;12103.000000;-469.000000;4927.156738
48;11531.000000;-445.000000;6954.361816
49;10747.000000;-414.000000;8850.374023
50;9754.000000;-377.000000;10579.425781
51;8526.000000;-335.000000;12108.899414
52;7112.000000;-289.000000;13409.941406
53;5531.000000;-222.000000;14458.008789
54;3816.000000;-154.000000;15233.328125
55;2123.000000;-88.000000;15721.275391
56;419.000000;-19.000000;15912.643555
57;-1226.000000;50.000000;15803.824219
58;-2780.000000;112.000000;15396.869141
59;-4266.000000;172.000000;14699.455078
60;-5593.000000;225.000000;13724.740234
61;-6839.000000;276.000000;12491.110352
62;-7957.000000;322.000000;11021.839844
63;-8885.000000;359.000000;9344.644531
64;-9696.000000;392.000000;7491.164062
65;-10342.000000;418.000000;5496.365234
66;-10825.000000;438.000000;3397.878418
67;-11168.000000;453.000000;1235.291504
68;-11320.000000;459.000000;-950.598816
69;-11297.000000;459.000000;-3118.556396
70;-11120.000000;452.000000;-5227.683105
71;-10766.000000;438.000000;-7238.190918
72;-10276.000000;418.000000;-9112.151367
73;-9643.000000;391.000000;-10814.207031
74;-8839.000000;357.000000;-12312.256836
75;-7874.000000;318.000000;-13578.041016
76;-6748.000000;273.000000;-14587.679688
77;-5478.000000;221.000000;-15322.128906
78;-4099.000000;163.000000;-15767.532227
