takt;q1;q2;q2p
0;244.000000;-11.000000;2721.185303
1;414.000000;-13.000000;5362.231934
2;416.000000;-14.000000;7845.360840
3;249.000000;-8.000000;10097.443359
4;-119.000000;8.000000;12052.156250
5;-631.000000;30.000000;13651.933594
6;-1299.000000;56.000000;14849.661133
7;-2141.000000;89.000000;15610.066406
8;-3064.000000;127.000000;15910.754883
9;-4080.000000;168.000000;15742.872070
10;-5119.000000;211.000000;15111.361328
11;-6172.000000;253.000000;14034.820312
12;-7253.000000;296.000000;12544.953125
13;-8268.000000;336.000000;10685.637695
14;-9191.000000;373.000000;8511.628906
15;-9975.000000;405.000000;6086.953125
16;-10570.000000;429.000000;3483.016357
17;-11018.000000;447.000000;776.504456
18;-11301.000000;459.000000;-1952.872437
19;-11434.000000;465.000000;-4624.737305
20;-11400.000000;464.000000;-7160.403809
21;-11193.000000;456.000000;-9485.197266
22;-10825.000000;441.000000;-11530.651367
23;-10273.000000;418.000000;-13236.528320
24;-9530.000000;387.000000;-14552.589844
25;-8597.000000;348.000000;-15440.078125
26;-7489.000000;303.000000;-15872.857422
27;-6203.000000;251.000000;-15838.180664
28;-4754.000000;191.000000;-15337.071289
29;-3103.000000;123.000000;-14384.285156
30;-1292.000000;50.000000;-13007.881836
31;607.000000;-26.000000;-11248.397461
32;2580.000000;-106.000000;-9157.648438
33;4522.000000;-182.000000;-6797.206543
34;6352.000000;-254.000000;-4236.587402
35;8010.000000;-326.000000;-1551.200806
36;9417.000000;-372.000000;1179.868530
37;10478.000000;-409.000000;3876.196533
38;11128.000000;-435.000000;6458.370117
39;11335.000000;-443.000000;8850.344727
40;11131.000000;-436.000000;10981.674805
41;10552.000000;-414.000000;12789.594727
42;9593.000000;-376.000000;14220.859375
43;8344.000000;-329.000000;15233.318359
44;6856.000000;-269.000000;15797.154297
45;5139.000000;-205.000000;15895.763672
46;3280.000000;-130.000000;15526.241211
47;1348.000000;-56.000000;14699.468750
48;-521.000000;19.000000;13439.795898
49;-2290.000000;90.000000;11784.320312
50;-3885.000000;155.000000;9781.794922
51;-5311.000000;213.000000;7491.195312
52;-6572.000000;264.000000;4979.979492
53;-7678.000000;310.000000;2322.102295
54;-8656.000000;350.000000;-404.160889
55;-9440.000000;381.000000;-3118.521484
56;-10007.000000;405.000000;-5741.041504
57;-10362.000000;420.000000;-8194.487305
58;-10478.000000;425.000000;-10406.604492
59;-10382.000000;422.000000;-12312.246094
60;-10094.000000;410.000000;-13855.291016
61;-9597.000000;389.000000;-14990.296875
62;-8934.000000;362.000000;-15683.836914
63;-8095.000000;328.000000;-15915.486328
64;-7071.000000;286.000000;-15678.423828
65;-5881.000000;238.000000;-14979.629883
66;-4495.000000;180.000000;-13839.684570
67;-2902.000000;114.000000;-12292.159180
68;-1147.000000;43.000000;-10382.628906
69;783.000000;-36.000000;-8167.329102
70;2856.000000;-119.000000;-5711.500488
71;4937.000000;-200.000000;-3087.468018
72;6963.000000;-280.000000;-372.509277
73;8807.000000;-357.000000;2353.408203
74;10361.000000;-404.000000;5010.018066
75;11496.000000;-447.000000;7519.083984
76;12137.000000;-471.000000;9806.713867
77;12275.000000;-478.000000;11805.538086
78;11945.000000;-465.000000;13456.690430
79;11184.000000;-436.000000;14711.545898
80;10021.000000;-391.000000;15533.148438
81;8525.000000;-336.000000;15897.302734
82;6765.000000;-267.000000;15793.284180
83;4802.000000;-193.000000;15224.156250
84;2727.000000;-110.000000;14206.678711
85;694.000000;-31.000000;12770.817383
86;-1239.000000;46.000000;10958.857422
87;-2996.000000;118.000000;8824.160156
88;-4566.000000;183.000000;6429.593750
89;-5984.000000;241.000000;3845.677002
90;-7197.000000;290.000000;1148.505249
91;-8239.000000;333.000000;-1582.489624
92;-9086.000000;369.000000;-4266.880371
93;-9692.000000;392.000000;-6825.612305
94;-10096.000000;409.000000;-9183.331055
95;-10272.000000;417.000000;-11270.602539
96;-10198.000000;415.000000;-13025.956055
97;-9942.000000;404.000000;-14397.698242
98;-9475.000000;384.000000;-15345.429688
99;-8822.000000;357.000000;-15841.241211
100;-8028.000000;325.000000;-15870.530273
101;-7034.000000;284.000000;-15432.435547
102;-5868.000000;237.000000;-14539.857422
103;-4534.000000;182.000000;-13219.083984
104;-2967.000000;117.000000;-11509.009766
105;-1243.000000;47.000000;-9459.997070
106;646.000000;-30.000000;-7132.389648
107;2743.000000;-117.000000;-4594.734375
108;4897.000000;-200.000000;-1921.764648
109;7033.000000;-283.000000;807.800537
110;9045.000000;-365.000000;3513.576172
111;10722.000000;-417.000000;6115.877441
112;11968.000000;-464.000000;8538.067383
113;12696.000000;-492.000000;10708.812500
114;12834.000000;-498.000000;12564.184570
115;12509.000000;-486.000000;14049.543945
116;11706.000000;-455.000000;15121.146484
117;10475.000000;-407.000000;15747.433594
118;8915.000000;-350.000000;15909.961914
119;7048.000000;-279.000000;15603.943359
120;4997.000000;-197.000000;14838.392578
121;2851.000000;-117.000000;13635.852539
122;759.000000;-35.000000;12031.739258
123;-1207.000000;43.000000;10073.293945
124;-3017.000000;118.000000;7818.190918
125;-4659.000000;186.000000;5332.843750
126;-6148.000000;246.000000;2690.445068
127;-7442.000000;299.000000;-31.186687
128;-8541.000000;345.000000;-2751.899902
129;-9456.000000;383.000000;-5391.570312
130;-10111.000000;410.000000;-7872.459473
131;-10563.000000;429.000000;-10121.506836
132;-10794.000000;439.000000;-12072.476562
133;-10784.000000;439.000000;-13667.914062
134;-10579.000000;430.000000;-14860.833984
135;-10171.000000;413.000000;-15616.104492
136;-9563.000000;387.000000;-15911.484375
137;-8807.000000;357.000000;-15738.272461
138;-7869.000000;318.000000;-15101.571289
139;-6749.000000;273.000000;-14020.131836
140;-5473.000000;221.000000;-12525.800781
141;-3977.000000;159.000000;-10662.587891
142;-2301.000000;90.000000;-8485.363281
143;-466.000000;16.000000;-6058.246582
144;1559.000000;-69.000000;-3452.714844
145;3763.000000;-158.000000;-745.477783
146;6023.000000;-244.000000;1983.713867
147;8239.000000;-330.000000;4654.484375
148;10195.000000;-406.000000;7188.178711
149;11742.000000;-456.000000;9510.178711
150;12798.000000;-496.000000;11552.100586
151;13292.000000;-517.000000;13253.809570
152;13284.000000;-517.000000;14565.189453
153;12792.000000;-496.000000;15447.619141
154;11822.000000;-459.000000;15875.110352
155;10424.000000;-405.000000;15835.075195
156;8655.000000;-340.000000;15328.691406
157;6623.000000;-261.000000;14370.872070
158;4425.000000;-176.000000;12989.825195
159;2205.000000;-90.000000;11226.224609
160;129.000000;-9.000000;9132.006836
161;-1838.000000;68.000000;6768.849121
162;-3604.000000;142.000000;4206.346191
163;-5208.000000;208.000000;1519.964844
164;-6660.000000;268.000000;-1211.180054
165;-7894.000000;318.000000;-3906.655273
166;-8962.000000;363.000000;-6487.078125
167;-9824.000000;399.000000;-8876.454102
168;-10425.000000;422.000000;-11004.416016
169;-10836.000000;440.000000;-12808.292969
170;-11008.000000;448.000000;-14234.961914
171;-10943.000000;445.000000;-15242.407227
172;-10695.000000;435.000000;-15800.957031
173;-10237.000000;416.000000;-15894.164062
174;-9589.000000;388.000000;-15519.282227
175;-8801.000000;357.000000;-14687.352539
176;-7815.000000;315.000000;-13422.874023
177;-6662.000000;269.000000;-11763.088867
178;-5336.000000;216.000000;-9756.875977
179;-3791.000000;151.000000;-7463.319336
180;-2086.000000;82.000000;-4949.965820
181;-214.000000;6.000000;-2290.834229
182;1852.000000;-81.000000;435.763458
183;4088.000000;-171.000000;3149.527588
184;6401.000000;-261.000000;5770.537109
185;8683.000000;-348.000000;8221.602539
186;10685.000000;-420.000000;10430.539062
187;12235.000000;-474.000000;12332.291992
188;13219.000000;-513.000000;13870.855469
189;13608.000000;-528.000000;15000.916992
190;13482.000000;-524.000000;15689.196289
191;12841.000000;-498.000000;15915.422852
192;11722.000000;-454.000000;15672.935547
193;10172.000000;-395.000000;14968.875000
194;8264.000000;-325.000000;13823.975586
195;6119.000000;-242.000000;12271.955078
196;3875.000000;-156.000000;10358.521484
197;1674.000000;-70.000000;8140.026367
198;-370.000000;10.000000;5681.804199
199;-2285.000000;88.000000;3056.250977
200;-4000.000000;159.000000;340.690247
201;-5553.000000;221.000000;-2384.904053
202;-6954.000000;280.000000;-5040.262207
203;-8153.000000;330.000000;-7547.182617
204;-9177.000000;372.000000;-9831.835938
205;-9968.000000;404.000000;-11826.938477
206;-10505.000000;426.000000;-13473.733398
207;-10848.000000;440.000000;-14723.722656
208;-10939.000000;445.000000;-15540.092773
209;-10799.000000;438.000000;-15898.802734
210;-10476.000000;426.000000;-15789.286133
211;-9939.000000;403.000000;-15214.770508
212;-9236.000000;374.000000;-14192.173828
213;-8382.000000;339.000000;-12751.613281
214;-7335.000000;296.000000;-10935.513672
215;-6129.000000;248.000000;-8797.359375
216;-4745.000000;191.000000;-6400.119629
217;-3144.000000;124.000000;-3814.393799
218;-1389.000000;53.000000;-1116.333130
219;536.000000;-25.000000;1614.604126
220;2661.000000;-114.000000;4297.990723
221;4934.000000;-205.000000;6854.799805
222;7279.000000;-296.000000;9209.732422
223;9533.000000;-381.000000;11293.435547
224;11395.000000;-442.000000;13044.543945
225;12745.000000;-493.000000;14411.485352
226;13529.000000;-525.000000;15354.002930
227;13700.000000;-532.000000;15844.340820
228;13371.000000;-518.000000;15868.056641
229;12534.000000;-487.000000;15424.453125
230;11243.000000;-436.000000;14526.593750
231;9569.000000;-374.000000;13200.921875
232;7560.000000;-298.000000;11486.478516
233;5366.000000;-213.000000;9433.753906
234;3141.000000;-127.000000;7103.201660
235;1032.000000;-46.000000;4563.458008
236;-911.000000;31.000000;1889.318970
237;-2713.000000;106.000000;-840.461182
238;-4328.000000;173.000000;-3545.489502
239;-5786.000000;231.000000;-6146.102051
240;-7068.000000;284.000000;-8565.708984
241;-8158.000000;330.000000;-10733.053711
242;-9072.000000;368.000000;-12584.306641
243;-9729.000000;394.000000;-14064.946289
244;-10153.000000;412.000000;-15131.369141
245;-10353.000000;421.000000;-15752.167969
246;-10291.000000;419.000000;-15909.059570
247;-10029.000000;406.000000;-15597.424805
248;-9562.000000;388.000000;-14826.439453
249;-8900.000000;360.000000;-13618.810547
250;-8105.000000;328.000000;-12010.103516
251;-7140.000000;288.000000;-10047.694336
252;-5993.000000;242.000000;-7789.377441
253;-4688.000000;189.000000;-5301.660645
254;-3160.000000;125.000000;-2657.808105
255;-1459.000000;56.000000;64.317947
256;383.000000;-19.000000;2784.549805
257;2437.000000;-105.000000;5422.775391
258;4652.000000;-194.000000;7901.298828
259;6913.000000;-280.000000;10147.125977
260;9120.000000;-365.000000;12094.117188
261;10944.000000;-424.000000;13684.931641
262;12239.000000;-473.000000;14872.720703
263;13000.000000;-503.000000;15622.502930
264;13130.000000;-510.000000;15912.197266
265;12781.000000;-493.000000;15733.272461
266;11936.000000;-461.000000;15090.996094
267;10602.000000;-410.000000;14004.285156
268;8918.000000;-348.000000;12505.143555
269;6913.000000;-272.000000;10637.720703
270;4734.000000;-186.000000;8457.013672
271;2579.000000;-106.000000;6027.244629
272;551.000000;-28.000000;3419.971191
