takt;q1;q2;q2p
0;265.000000;-11.000000;78.218155
1;529.000000;-14.000000;155.306152
2;574.000000;-7.000000;230.150208
3;398.000000;4.000000;301.668884
4;-26.000000;24.000000;368.828888
5;-788.000000;56.000000;430.659790
6;-1813.000000;100.000000;486.268280
7;-3168.000000;153.000000;534.850830
8;-4744.000000;214.000000;575.705566
9;-6524.000000;285.000000;608.242126
10;-8489.000000;361.000000;631.990417
11;-10439.000000;437.000000;646.607361
12;-12422.000000;515.000000;651.881653
13;-14389.000000;586.000000;647.737183
14;-16142.000000;652.000000;634.233765
15;-17673.000000;714.000000;611.566528
16;-18804.000000;761.000000;580.062988
17;-19557.000000;791.000000;540.178345
18;-19956.000000;808.000000;492.488922
19;-19963.000000;809.000000;437.683716
20;-19634.000000;796.000000;376.554596
21;-18954.000000;769.000000;309.984772
22;-17936.000000;726.000000;238.936127
23;-16631.000000;672.000000;164.435165
24;-15015.000000;607.000000;87.558350
25;-13131.000000;530.000000;9.416437
26;-11024.000000;444.000000;-68.861526
27;-8716.000000;351.000000;-146.144547
28;-6331.000000;254.000000;-221.315964
29;-3832.000000;159.000000;-293.289703
30;-1373.000000;55.000000;-361.025787
31;1128.000000;-45.000000;-423.545563
32;3567.000000;-129.000000;-479.945679
33;5824.000000;-221.000000;-529.411255
34;7904.000000;-306.000000;-571.227600
35;9783.000000;-382.000000;-604.790466
36;11390.000000;-444.000000;-629.614990
37;12778.000000;-500.000000;-645.342468
38;13840.000000;-544.000000;-651.745605
39;14628.000000;-576.000000;-648.731873
40;15141.000000;-599.000000;-636.344849
41;15331.000000;-606.000000;-614.763489
42;15331.000000;-608.000000;-584.299622
43;15065.000000;-599.000000;-545.393372
44;14578.000000;-580.000000;-498.606934
45;13959.000000;-556.000000;-444.616302
46;13128.000000;-523.000000;-384.201538
47;12173.000000;-484.000000;-318.235596
48;11085.000000;-441.000000;-247.671539
49;9865.000000;-392.000000;-173.528976
50;8560.000000;-338.000000;-96.879150
