takt;q1;q2;q2p
0;250.000000;-10.000000;89.326149
1;492.000000;-15.000000;176.967178
2;571.000000;0.000000;261.269806
3;420.000000;8.000000;340.643616
4;-28.000000;26.000000;413.591278
5;-786.000000;57.000000;478.736664
6;-1829.000000;102.000000;534.850830
7;-3171.000000;155.000000;580.875183
8;-4790.000000;219.000000;615.941528
9;-6592.000000;291.000000;639.388306
10;-8576.000000;369.000000;650.773193
11;-10559.000000;446.000000;649.881470
12;-12528.000000;522.000000;636.729858
13;-14493.000000;586.000000;611.566528
14;-16137.000000;652.000000;574.866211
15;-17594.000000;713.000000;527.321106
16;-18612.000000;753.000000;469.828308
17;-19250.000000;779.000000;403.472321
18;-19557.000000;792.000000;329.505005
19;-19416.000000;787.000000;249.321686
20;-18970.000000;768.000000;164.434998
21;-18169.000000;737.000000;76.446297
22;-17031.000000;688.000000;-12.984548
23;-15593.000000;629.000000;-102.170441
24;-13790.000000;556.000000;-189.428909
25;-11670.000000;469.000000;-273.113892
26;-9281.000000;373.000000;-351.646637
27;-6614.000000;265.000000;-423.545685
28;-3815.000000;152.000000;-487.454681
29;-903.000000;37.000000;-542.168030
30;2041.000000;-84.000000;-586.653503
31;4985.000000;-196.000000;-620.071960
32;7845.000000;-298.000000;-641.792969
33;10462.000000;-404.000000;-651.406738
34;12767.000000;-495.000000;-648.731934
35;14643.000000;-572.000000;-633.819031
36;16140.000000;-633.000000;-606.949280
37;17333.000000;-681.000000;-568.629578
38;18095.000000;-712.000000;-519.582764
39;18544.000000;-734.000000;-460.734192
40;18560.000000;-736.000000;-393.193970
41;18199.000000;-720.000000;-318.236206
42;17510.000000;-691.000000;-237.275024
43;16414.000000;-648.000000;-151.837692
44;15012.000000;-590.000000;-63.535976
45;13276.000000;-521.000000;25.964331
46;11190.000000;-435.000000;114.974823
47;8902.000000;-343.000000;201.816345
48;6326.000000;-237.000000;284.850647
49;3664.000000;-132.000000;362.511322
50;850.000000;-18.000000;433.333282
51;-1996.000000;95.000000;495.980530
52;-4813.000000;205.000000;549.271240
53;-7652.000000;307.000000;592.200012
54;-10223.000000;411.000000;623.957153
55;-12613.000000;508.000000;643.943420
56;-14628.000000;590.000000;651.781860
57;-16280.000000;657.000000;647.324646
58;-17600.000000;712.000000;630.655762
59;-18513.000000;749.000000;602.089661
60;-19087.000000;772.000000;562.165344
61;-19273.000000;781.000000;511.635895
62;-19118.000000;774.000000;451.454559
63;-18651.000000;755.000000;382.756622
64;-17862.000000;722.000000;306.838074
65;-16746.000000;677.000000;225.131119
66;-15342.000000;620.000000;139.177094
67;-13631.000000;550.000000;50.597542
68;-11694.000000;472.000000;-38.936527
69;-9540.000000;386.000000;-127.736069
70;-7201.000000;292.000000;-214.125900
71;-4744.000000;194.000000;-296.476288
72;-2214.000000;91.000000;-373.233734
73;320.000000;-13.000000;-442.949921
74;2884.000000;-115.000000;-504.310028
75;5454.000000;-202.000000;-556.156555
76;7816.000000;-297.000000;-597.511353
77;9985.000000;-388.000000;-627.594421
78;11847.000000;-462.000000;-645.838074
79;13447.000000;-524.000000;-651.898315
80;14690.000000;-576.000000;-645.660767
81;15587.000000;-613.000000;-627.243042
82;16154.000000;-636.000000;-596.992615
83;16357.000000;-645.000000;-555.480225
84;16249.000000;-641.000000;-503.488861
85;15803.000000;-624.000000;-441.999420
86;15065.000000;-593.000000;-372.171814
87;14057.000000;-553.000000;-295.323334
88;12769.000000;-500.000000;-212.903717
89;11261.000000;-440.000000;-126.467743
90;9550.000000;-372.000000;-37.646004
91;7647.000000;-292.000000;51.885910
92;5604.000000;-211.000000;140.439011
93;3484.000000;-126.000000;226.342804
94;1264.000000;-35.000000;307.976715
95;-952.000000;53.000000;383.800781
96;-3203.000000;143.000000;452.384583
97;-5461.000000;231.000000;512.434326
98;-7695.000000;311.000000;562.817200
99;-9790.000000;397.000000;602.582764
100;-11677.000000;474.000000;630.980835
101;-13390.000000;543.000000;647.475708
102;-14808.000000;598.000000;651.756226
103;-15979.000000;646.000000;643.741638
104;-16842.000000;679.000000;623.583069
105;-17398.000000;702.000000;591.660889
106;-17685.000000;715.000000;548.577209
107;-17631.000000;715.000000;495.144897
108;-17301.000000;702.000000;432.371857
109;-16682.000000;679.000000;361.442291
110;-15771.000000;641.000000;283.694275
111;-14598.000000;594.000000;200.594467
112;-13174.000000;533.000000;113.710526
113;-11512.000000;465.000000;24.681482
114;-9673.000000;388.000000;-64.813171
115;-7647.000000;305.000000;-153.085144
116;-5496.000000;221.000000;-238.469238
117;-3211.000000;135.000000;-319.354706
118;-893.000000;37.000000;-394.215668
119;1447.000000;-54.000000;-461.639893
120;3807.000000;-145.000000;-520.355469
121;6145.000000;-234.000000;-569.254761
122;8354.000000;-320.000000;-607.415283
123;10370.000000;-403.000000;-634.117188
124;12121.000000;-473.000000;-648.856689
125;13618.000000;-532.000000;-651.355774
126;14784.000000;-580.000000;-641.567322
127;15630.000000;-615.000000;-619.675903
128;16137.000000;-636.000000;-586.094543
129;16323.000000;-643.000000;-541.456787
130;16197.000000;-639.000000;-486.604675
131;15725.000000;-621.000000;-422.572937
132;14984.000000;-591.000000;-350.569519
133;13939.000000;-549.000000;-271.952759
134;12622.000000;-494.000000;-188.205704
135;11082.000000;-433.000000;-100.908241
136;9319.000000;-362.000000;-11.707175
137;7382.000000;-281.000000;77.714737
138;5296.000000;-198.000000;165.670593
139;3111.000000;-110.000000;250.501144
140;860.000000;-19.000000;330.606079
141;-1417.000000;72.000000;404.474274
142;-3719.000000;163.000000;470.712219
143;-6014.000000;252.000000;528.070374
144;-8269.000000;332.000000;575.466675
145;-10364.000000;417.000000;612.007324
146;-12272.000000;495.000000;637.002441
147;-13927.000000;563.000000;649.980591
148;-15312.000000;621.000000;650.696899
149;-16418.000000;667.000000;639.137878
150;-17175.000000;696.000000;615.521545
151;-17649.000000;716.000000;580.293457
152;-17785.000000;720.000000;534.118164
