takt;q1;q2;q2p
0;239.000000;-9.000000;133.461746
1;475.000000;-10.000000;261.269775
2;517.000000;9.000000;378.009888
3;222.000000;21.000000;478.736694
4;-361.000000;45.000000;559.183167
5;-1344.000000;85.000000;615.941528
6;-2631.000000;139.000000;646.607300
7;-4206.000000;200.000000;649.881470
8;-6065.000000;275.000000;625.625305
9;-8054.000000;350.000000;574.866272
10;-10070.000000;430.000000;499.754700
11;-12089.000000;494.000000;403.472473
12;-13760.000000;555.000000;290.098267
13;-15100.000000;608.000000;164.434906
14;-16078.000000;648.000000;31.805719
15;-16657.000000;672.000000;-102.170822
16;-16902.000000;681.000000;-231.819199
17;-16806.000000;680.000000;-351.647217
18;-16320.000000;659.000000;-456.578583
19;-15506.000000;627.000000;-542.168396
20;-14320.000000;578.000000;-604.790833
21;-12751.000000;513.000000;-641.793091
22;-10825.000000;435.000000;-651.607666
23;-8478.000000;339.000000;-633.818848
24;-5799.000000;231.000000;-589.180176
25;-2899.000000;116.000000;-519.582581
26;103.000000;1.000000;-427.974487
27;3046.000000;-98.000000;-318.236481
28;5583.000000;-199.000000;-195.017319
29;7722.000000;-285.000000;-63.536846
30;9460.000000;-357.000000;70.635185
31;10721.000000;-408.000000;201.814957
32;11663.000000;-446.000000;324.445435
33;12204.000000;-469.000000;433.331757
34;12362.000000;-474.000000;523.861267
35;12234.000000;-472.000000;592.198914
36;11679.000000;-449.000000;635.449829
37;10770.000000;-411.000000;651.781799
38;9503.000000;-360.000000;640.502869
39;7776.000000;-289.000000;602.090820
40;5703.000000;-204.000000;538.172852
41;3309.000000;-110.000000;451.456665
42;767.000000;-13.000000;345.615784
43;-1760.000000;90.000000;225.133850
44;-4124.000000;155.000000;95.114754
45;-6148.000000;240.000000;-38.933620
46;-7754.000000;307.000000;-171.332672
47;-8968.000000;359.000000;-296.473694
48;-9844.000000;394.000000;-409.055450
49;-10396.000000;417.000000;-504.308685
50;-10568.000000;422.000000;-578.198303
51;-10391.000000;417.000000;-627.594116
52;-9839.000000;393.000000;-650.403687
53;-8902.000000;356.000000;-645.660706
54;-7602.000000;301.000000;-613.566101
55;-5909.000000;233.000000;-555.479492
56;-3868.000000;152.000000;-473.861542
57;-1665.000000;69.000000;-372.169739
58;624.000000;-24.000000;-254.712021
59;2813.000000;-85.000000;-126.464119
60;4603.000000;-159.000000;7.141075
