takt;q1;q2;q2p
0;232.000000;-9.000000;198.419250
1;464.000000;-5.000000;378.009888
2;376.000000;10.000000;521.730042
3;-92.000000;31.000000;615.941528
4;-920.000000;65.000000;651.704529
5;-2135.000000;111.000000;625.625244
6;-3576.000000;170.000000;540.178528
7;-5198.000000;232.000000;403.472626
8;-6890.000000;296.000000;228.479950
9;-8445.000000;333.000000;31.806011
10;-9623.000000;384.000000;-167.886093
11;-10420.000000;416.000000;-351.646973
12;-10793.000000;431.000000;-502.038940
13;-10816.000000;433.000000;-604.790894
14;-10546.000000;423.000000;-650.152283
15;-9910.000000;395.000000;-633.818726
16;-8953.000000;357.000000;-557.340088
17;-7648.000000;305.000000;-427.973694
18;-5987.000000;238.000000;-257.995758
19;-4169.000000;171.000000;-63.535828
20;-2291.000000;102.000000;136.953201
21;-622.000000;58.000000;324.446320
22;573.000000;6.000000;481.151794
23;1414.000000;-30.000000;592.199341
24;1847.000000;-50.000000;647.051392
25;1913.000000;-48.000000;640.502808
26;1703.000000;-47.000000;573.174988
27;1081.000000;-19.000000;451.456970
28;171.000000;16.000000;286.898834
29;-906.000000;55.000000;95.116051
30;-2089.000000;97.000000;-105.692589
31;-3087.000000;115.000000;-296.471741
32;-3692.000000;140.000000;-459.117828
33;-3992.000000;154.000000;-578.196899
34;-3880.000000;152.000000;-642.409119
35;-3437.000000;130.000000;-645.661255
36;-2740.000000;105.000000;-587.644714
37;-1676.000000;60.000000;-473.864532
38;-368.000000;11.000000;-315.117767
39;1038.000000;-37.000000;-126.468407
40;2491.000000;-88.000000;74.181953
41;3622.000000;-118.000000;267.792938
42;4327.000000;-146.000000;435.992157
43;4727.000000;-164.000000;562.818604
44;4715.000000;-166.000000;636.237366
45;4414.000000;-149.000000;649.281372
46;3823.000000;-133.000000;600.712891
47;2849.000000;-92.000000;495.140808
48;1602.000000;-44.000000;342.583130
49;108.000000;13.000000;157.516571
50;-1476.000000;75.000000;-42.497253
51;-2918.000000;106.000000;-238.478363
52;-3992.000000;153.000000;-411.829468
53;-4738.000000;185.000000;-546.100708
54;-5080.000000;198.000000;-628.550598
55;-5053.000000;195.000000;-651.355225
56;-4731.000000;186.000000;-612.350586
57;-4028.000000;155.000000;-515.237915
58;-3001.000000;115.000000;-369.232635
59;-1746.000000;70.000000;-188.189621
60;-330.000000;21.000000;10.711345
61;977.000000;-14.000000;208.595871
62;1919.000000;-51.000000;386.686035
63;2508.000000;-73.000000;528.082275
64;2739.000000;-84.000000;619.367004
65;2628.000000;-79.000000;651.877930
66;2245.000000;-67.000000;622.529968
67;1497.000000;-36.000000;534.108093
68;428.000000;6.000000;395.002869
69;-874.000000;56.000000;218.414505
70;-2295.000000;107.000000;21.100071
71;-3667.000000;141.000000;-178.216629
72;-4649.000000;179.000000;-360.621765
73;-5286.000000;206.000000;-508.805725
74;-5565.000000;218.000000;-608.707825
75;-5456.000000;213.000000;-650.848145
76;-5084.000000;198.000000;-631.227783
77;-4337.000000;169.000000;-551.708618
78;-3244.000000;125.000000;-419.836456
