takt;q1;q2;q2p
0;276.000000;-11.000000;22.397606
1;549.000000;-20.000000;44.768768
2;793.000000;-8.000000;67.087067
3;854.000000;-13.000000;89.326149
4;811.000000;-10.000000;111.459747
5;553.000000;2.000000;133.461746
6;189.000000;18.000000;155.306152
7;-311.000000;37.000000;176.967163
8;-972.000000;63.000000;198.419235
9;-1689.000000;91.000000;219.637009
10;-2545.000000;125.000000;240.595444
11;-3424.000000;160.000000;261.269806
12;-4332.000000;193.000000;281.635620
13;-5256.000000;232.000000;301.668915
14;-6154.000000;268.000000;321.346008
15;-7080.000000;299.000000;340.643646
16;-7965.000000;322.000000;359.539062
17;-8746.000000;354.000000;378.009949
18;-9432.000000;383.000000;396.034454
19;-9964.000000;406.000000;413.591309
20;-10429.000000;427.000000;430.659821
21;-10794.000000;441.000000;447.219818
22;-11059.000000;451.000000;463.251740
23;-11287.000000;459.000000;478.736664
24;-11416.000000;467.000000;493.656311
25;-11510.000000;471.000000;507.993042
26;-11612.000000;476.000000;521.729980
27;-11670.000000;479.000000;534.850830
28;-11744.000000;481.000000;547.340149
29;-11766.000000;490.000000;559.183167
30;-11806.000000;505.000000;570.365906
31;-11917.000000;508.000000;580.875183
32;-12083.000000;515.000000;590.698547
33;-12338.000000;526.000000;599.824463
34;-12611.000000;539.000000;608.242065
35;-12958.000000;551.000000;615.941467
36;-13345.000000;567.000000;622.913635
37;-13767.000000;583.000000;629.150208
38;-14224.000000;602.000000;634.643982
39;-14675.000000;619.000000;639.388306
40;-15141.000000;637.000000;643.377686
41;-15591.000000;655.000000;646.607300
42;-16057.000000;669.000000;649.073486
43;-16533.000000;677.000000;650.773193
44;-16913.000000;692.000000;651.704529
45;-17235.000000;704.000000;651.866333
46;-17450.000000;712.000000;651.258362
47;-17572.000000;715.000000;649.881470
48;-17624.000000;718.000000;647.737122
49;-17577.000000;717.000000;644.828003
50;-17454.000000;715.000000;641.157471
51;-17271.000000;709.000000;636.729797
52;-17030.000000;696.000000;631.550354
53;-16804.000000;688.000000;625.625183
54;-16541.000000;679.000000;618.961243
55;-16281.000000;667.000000;611.566467
56;-16014.000000;657.000000;603.449524
57;-15746.000000;648.000000;594.620056
58;-15493.000000;643.000000;585.088440
59;-15239.000000;640.000000;574.866028
60;-15016.000000;634.000000;563.964722
61;-14794.000000;624.000000;552.397583
62;-14588.000000;617.000000;540.178101
63;-14401.000000;609.000000;527.320862
64;-14199.000000;602.000000;513.840942
65;-14038.000000;593.000000;499.754242
66;-13862.000000;587.000000;485.077454
67;-13692.000000;580.000000;469.827911
68;-13545.000000;572.000000;454.023590
69;-13374.000000;563.000000;437.683167
70;-13252.000000;551.000000;420.825928
71;-13118.000000;536.000000;403.471771
72;-12939.000000;530.000000;385.641235
73;-12711.000000;521.000000;367.355377
74;-12409.000000;509.000000;348.635773
75;-12072.000000;494.000000;329.504517
76;-11672.000000;478.000000;309.984161
77;-11201.000000;457.000000;290.097809
78;-10700.000000;437.000000;269.868896
79;-10150.000000;415.000000;249.321335
80;-9568.000000;393.000000;228.479370
81;-8988.000000;369.000000;207.367630
82;-8396.000000;344.000000;186.011047
83;-7788.000000;321.000000;164.434814
84;-7193.000000;297.000000;142.664413
85;-6595.000000;273.000000;120.725571
86;-6016.000000;249.000000;98.644173
87;-5434.000000;224.000000;76.446297
88;-4839.000000;202.000000;54.158150
89;-4273.000000;184.000000;31.806059
90;-3693.000000;170.000000;9.416412
91;-3169.000000;150.000000;-12.984353
92;-2632.000000;125.000000;-35.369789
93;-2092.000000;104.000000;-57.713459
94;-1576.000000;84.000000;-79.988983
95;-1053.000000;62.000000;-102.170052
96;-593.000000;40.000000;-124.230492
97;-112.000000;22.000000;-146.144226
