takt;q1;q2;q2p
0;267.000000;-11.000000;33.588146
1;534.000000;-19.000000;67.087067
2;753.000000;-11.000000;100.407776
3;820.000000;-14.000000;133.461746
4;688.000000;-8.000000;166.161194
5;343.000000;6.000000;198.419235
6;-181.000000;28.000000;230.150192
7;-887.000000;55.000000;261.269775
8;-1772.000000;90.000000;291.695282
9;-2786.000000;130.000000;321.345978
10;-3915.000000;175.000000;350.143005
11;-5090.000000;221.000000;378.009888
12;-6297.000000;269.000000;404.872620
13;-7510.000000;317.000000;430.659851
14;-8719.000000;365.000000;455.303040
15;-9919.000000;407.000000;478.736725
16;-11036.000000;447.000000;500.898712
17;-12032.000000;487.000000;521.730042
18;-12886.000000;522.000000;541.175415
19;-13585.000000;550.000000;559.183228
20;-14149.000000;573.000000;575.705566
21;-14582.000000;591.000000;590.698608
22;-14892.000000;604.000000;604.122498
23;-15102.000000;614.000000;615.941528
24;-15216.000000;619.000000;626.124390
25;-15284.000000;623.000000;634.643982
26;-15284.000000;623.000000;641.477661
27;-15264.000000;623.000000;646.607300
28;-15226.000000;623.000000;650.019287
29;-15174.000000;620.000000;651.704529
30;-15118.000000;618.000000;651.658569
31;-15048.000000;621.000000;649.881470
32;-15009.000000;627.000000;646.378052
33;-15004.000000;626.000000;641.157532
34;-15030.000000;628.000000;634.233826
35;-15103.000000;630.000000;625.625366
36;-15184.000000;633.000000;615.354919
37;-15307.000000;637.000000;603.449768
38;-15431.000000;643.000000;589.941650
39;-15557.000000;645.000000;574.866333
40;-15703.000000;647.000000;558.263916
41;-15842.000000;647.000000;540.178528
42;-15914.000000;648.000000;520.658203
43;-15912.000000;648.000000;499.754700
44;-15796.000000;643.000000;477.523682
45;-15589.000000;634.000000;454.024109
46;-15280.000000;621.000000;429.318451
47;-14849.000000;603.000000;403.472351
48;-14340.000000;582.000000;376.554443
49;-13711.000000;556.000000;348.636230
50;-13017.000000;529.000000;319.791870
51;-12237.000000;500.000000;290.098022
52;-11420.000000;467.000000;259.633514
53;-10574.000000;432.000000;228.479324
54;-9713.000000;397.000000;196.718185
55;-8850.000000;361.000000;164.434479
56;-7971.000000;326.000000;131.713959
57;-7116.000000;290.000000;98.643547
58;-6279.000000;257.000000;65.311089
59;-5437.000000;228.000000;31.805138
60;-4611.000000;201.000000;-1.785302
61;-3798.000000;167.000000;-35.370998
62;-3002.000000;134.000000;-68.862740
63;-2227.000000;105.000000;-102.171539
64;-1503.000000;73.000000;-135.208939
65;-789.000000;45.000000;-167.887146
66;-109.000000;18.000000;-200.119385
67;562.000000;-10.000000;-231.820007
68;1212.000000;-38.000000;-262.904816
69;1831.000000;-64.000000;-293.291229
70;2451.000000;-92.000000;-322.898529
71;3029.000000;-124.000000;-351.648071
72;3633.000000;-147.000000;-379.463470
73;4282.000000;-174.000000;-406.270721
74;4953.000000;-201.000000;-431.998749
75;5658.000000;-231.000000;-456.579224
76;6376.000000;-260.000000;-479.946808
77;7100.000000;-289.000000;-502.039459
78;7853.000000;-320.000000;-522.798462
79;8580.000000;-350.000000;-542.168701
80;9287.000000;-378.000000;-560.098694
81;10012.000000;-406.000000;-576.540833
82;10695.000000;-433.000000;-591.451477
83;11385.000000;-459.000000;-604.790894
84;12051.000000;-480.000000;-616.523804
85;12657.000000;-499.000000;-626.618896
86;13226.000000;-524.000000;-635.049500
87;13676.000000;-542.000000;-641.793091
88;14048.000000;-558.000000;-646.831787
89;14364.000000;-570.000000;-650.152222
90;14591.000000;-580.000000;-651.745605
91;14791.000000;-588.000000;-651.607666
92;14922.000000;-594.000000;-649.738770
93;15008.000000;-597.000000;-646.143921
94;15067.000000;-600.000000;-640.832642
95;15063.000000;-601.000000;-633.818970
96;15025.000000;-599.000000;-625.121643
97;14963.000000;-597.000000;-614.763733
98;14855.000000;-592.000000;-602.772766
99;14741.000000;-587.000000;-589.180542
100;14603.000000;-582.000000;-574.023193
101;14441.000000;-574.000000;-557.341003
102;14271.000000;-567.000000;-539.178284
103;14060.000000;-559.000000;-519.583313
104;13817.000000;-548.000000;-498.608063
105;13524.000000;-537.000000;-476.308319
106;13174.000000;-522.000000;-452.743286
107;12776.000000;-506.000000;-427.975586
108;12320.000000;-487.000000;-402.070984
109;11816.000000;-466.000000;-375.098297
110;11282.000000;-445.000000;-347.129211
111;10699.000000;-422.000000;-318.238007
112;10084.000000;-397.000000;-288.501404
113;9432.000000;-371.000000;-257.998444
114;8768.000000;-344.000000;-226.810104
115;8087.000000;-315.000000;-195.019272
116;7367.000000;-287.000000;-162.710388
117;6613.000000;-255.000000;-129.969269
118;5848.000000;-225.000000;-96.882896
119;5073.000000;-194.000000;-63.539165
120;4281.000000;-162.000000;-30.026646
121;3502.000000;-131.000000;3.565637
122;2711.000000;-98.000000;37.148449
123;1918.000000;-66.000000;70.632576
124;1121.000000;-33.000000;103.929077
125;325.000000;-1.000000;136.949493
126;-459.000000;30.000000;169.606110
127;-1228.000000;62.000000;201.812195
128;-1993.000000;93.000000;233.482162
129;-2745.000000;124.000000;264.531921
130;-3503.000000;155.000000;294.878967
131;-4266.000000;188.000000;324.442657
132;-5025.000000;215.000000;353.144531
133;-5786.000000;246.000000;380.908264
134;-6527.000000;279.000000;407.660187
135;-7264.000000;308.000000;433.329163
