takt;q1;q2;q2p
0;263.000000;-10.000000;44.768768
1;526.000000;-18.000000;89.326149
2;665.000000;-11.000000;133.461761
3;647.000000;-8.000000;176.967178
4;409.000000;3.000000;219.637009
5;-68.000000;21.000000;261.269775
6;-744.000000;49.000000;301.668884
7;-1634.000000;86.000000;340.643585
8;-2725.000000;130.000000;378.009857
9;-3957.000000;176.000000;413.591278
10;-5323.000000;229.000000;447.219818
11;-6753.000000;288.000000;478.736694
12;-8205.000000;345.000000;507.993103
13;-9670.000000;403.000000;534.850891
14;-11126.000000;458.000000;559.183228
15;-12514.000000;511.000000;580.875244
16;-13757.000000;561.000000;599.824524
17;-14827.000000;604.000000;615.941589
18;-15654.000000;637.000000;629.150330
19;-16333.000000;666.000000;639.388306
20;-16824.000000;686.000000;646.607361
21;-17118.000000;698.000000;650.773193
22;-17276.000000;705.000000;651.866333
23;-17275.000000;707.000000;649.881470
24;-17161.000000;703.000000;644.828064
25;-16958.000000;696.000000;636.729919
26;-16666.000000;684.000000;625.625305
27;-16338.000000;670.000000;611.566650
28;-15971.000000;656.000000;594.620300
29;-15579.000000;640.000000;574.866394
30;-15178.000000;625.000000;552.398010
31;-14766.000000;608.000000;527.321411
32;-14342.000000;590.000000;499.754913
33;-13917.000000;573.000000;469.828705
34;-13470.000000;558.000000;437.684113
35;-13030.000000;544.000000;403.472839
36;-12609.000000;527.000000;367.356506
37;-12174.000000;508.000000;329.505524
38;-11757.000000;486.000000;290.098663
39;-11305.000000;463.000000;249.322052
40;-10798.000000;442.000000;207.368195
41;-10253.000000;420.000000;164.435181
42;-9611.000000;393.000000;120.725761
43;-8882.000000;362.000000;76.446297
44;-8073.000000;329.000000;31.805866
45;-7159.000000;291.000000;-12.984742
46;-6172.000000;251.000000;-57.714039
47;-5100.000000;208.000000;-102.170822
48;-3955.000000;162.000000;-146.145187
49;-2758.000000;113.000000;-189.429474
50;-1515.000000;63.000000;-231.819321
51;-252.000000;10.000000;-273.114594
52;1023.000000;-39.000000;-313.120270
53;2299.000000;-88.000000;-351.647461
54;3567.000000;-138.000000;-388.514252
55;4817.000000;-188.000000;-423.546570
56;6008.000000;-235.000000;-456.579010
57;7115.000000;-278.000000;-487.455597
58;8097.000000;-318.000000;-516.030518
59;9016.000000;-355.000000;-542.168884
60;9804.000000;-388.000000;-565.747253
61;10494.000000;-417.000000;-586.654236
62;11098.000000;-442.000000;-604.791260
63;11603.000000;-463.000000;-620.072571
64;12054.000000;-482.000000;-632.426025
65;12418.000000;-497.000000;-641.793335
66;12732.000000;-510.000000;-648.130249
67;13000.000000;-522.000000;-651.406799
68;13217.000000;-531.000000;-651.607605
69;13412.000000;-540.000000;-648.731689
70;13571.000000;-546.000000;-642.792603
71;13699.000000;-552.000000;-633.818359
72;13812.000000;-556.000000;-621.851440
73;13875.000000;-559.000000;-606.948303
74;13905.000000;-560.000000;-589.179321
75;13883.000000;-560.000000;-568.628418
76;13801.000000;-556.000000;-545.392639
77;13671.000000;-550.000000;-519.581604
78;13470.000000;-541.000000;-491.317291
79;13237.000000;-531.000000;-460.733093
80;12922.000000;-517.000000;-427.973450
81;12533.000000;-502.000000;-393.193024
82;12062.000000;-482.000000;-356.556061
83;11502.000000;-459.000000;-318.235535
84;10870.000000;-433.000000;-278.412384
85;10149.000000;-404.000000;-237.274658
86;9344.000000;-371.000000;-195.016586
87;8462.000000;-335.000000;-151.837692
88;7510.000000;-296.000000;-107.941864
89;6507.000000;-256.000000;-63.536362
90;5455.000000;-214.000000;-18.830860
91;4359.000000;-170.000000;25.963554
92;3244.000000;-124.000000;70.635376
93;2109.000000;-77.000000;114.973679
94;976.000000;-31.000000;158.769104
95;-149.000000;14.000000;201.814865
96;-1291.000000;59.000000;243.907715
