takt;q1;q2;q2p
0;234.000000;-10.000000;55.936172
1;469.000000;-16.000000;111.459755
2;512.000000;-6.000000;166.161209
3;253.000000;9.000000;219.637024
4;-311.000000;34.000000;271.492767
5;-1193.000000;68.000000;321.345947
6;-2323.000000;115.000000;368.828857
7;-3613.000000;166.000000;413.591248
8;-5008.000000;219.000000;455.302979
9;-6486.000000;276.000000;493.656311
10;-7987.000000;334.000000;528.368408
11;-9489.000000;390.000000;559.183228
12;-10893.000000;445.000000;585.873413
13;-12103.000000;493.000000;608.242188
14;-13086.000000;535.000000;626.124451
15;-13837.000000;567.000000;639.388367
16;-14420.000000;591.000000;647.936035
17;-14839.000000;610.000000;651.704529
18;-15136.000000;622.000000;650.665955
19;-15354.000000;631.000000;644.828003
20;-15508.000000;637.000000;634.233765
21;-15602.000000;640.000000;618.961365
22;-15633.000000;642.000000;599.123413
23;-15610.000000;642.000000;574.866272
24;-15514.000000;638.000000;546.368896
25;-15354.000000;631.000000;513.841431
26;-15120.000000;622.000000;477.523834
27;-14799.000000;608.000000;437.683960
28;-14371.000000;591.000000;394.615723
29;-13823.000000;568.000000;348.636749
30;-13157.000000;540.000000;300.086182
31;-12398.000000;508.000000;249.322159
32;-11529.000000;472.000000;196.719116
33;-10588.000000;434.000000;142.665054
34;-9558.000000;393.000000;87.558685
35;-8469.000000;347.000000;31.806473
36;-7310.000000;300.000000;-24.180347
37;-6092.000000;249.000000;-79.988930
38;-4824.000000;198.000000;-135.207504
39;-3536.000000;146.000000;-189.428772
40;-2253.000000;92.000000;-242.252792
41;-956.000000;39.000000;-293.289917
42;344.000000;-14.000000;-342.163727
43;1640.000000;-67.000000;-388.513672
44;2903.000000;-117.000000;-431.997894
45;4163.000000;-167.000000;-472.295624
46;5408.000000;-214.000000;-509.109680
47;6624.000000;-259.000000;-542.168457
48;7766.000000;-306.000000;-571.228149
49;8812.000000;-349.000000;-596.074402
50;9770.000000;-388.000000;-616.523865
51;10628.000000;-422.000000;-632.425842
52;11382.000000;-454.000000;-643.662964
53;12047.000000;-481.000000;-650.152344
54;12621.000000;-505.000000;-651.846069
55;13097.000000;-524.000000;-648.731750
56;13477.000000;-539.000000;-640.832275
57;13754.000000;-551.000000;-628.205994
58;13935.000000;-559.000000;-610.945923
59;14006.000000;-562.000000;-589.179504
60;13984.000000;-561.000000;-563.067139
61;13857.000000;-556.000000;-532.801575
62;13637.000000;-547.000000;-498.606018
63;13323.000000;-534.000000;-460.732635
64;12915.000000;-517.000000;-419.460876
65;12406.000000;-496.000000;-375.095093
66;11797.000000;-471.000000;-327.962555
67;11090.000000;-442.000000;-278.410950
68;10278.000000;-409.000000;-226.805725
69;9362.000000;-372.000000;-173.527573
70;8352.000000;-330.000000;-118.969452
71;7274.000000;-286.000000;-63.533798
72;6132.000000;-240.000000;-7.629513
73;4931.000000;-191.000000;48.330807
74;3677.000000;-140.000000;103.934639
75;2383.000000;-88.000000;158.771835
76;1095.000000;-36.000000;212.437927
77;-214.000000;18.000000;264.537079
78;-1531.000000;72.000000;314.684967
79;-2851.000000;126.000000;362.511719
80;-4127.000000;179.000000;407.664581
81;-5414.000000;229.000000;449.810455
82;-6695.000000;276.000000;488.638519
83;-7909.000000;324.000000;523.862366
84;-9041.000000;369.000000;555.222168
85;-10078.000000;413.000000;582.486633
86;-11008.000000;451.000000;605.454590
87;-11826.000000;484.000000;623.956726
88;-12565.000000;515.000000;637.856506
89;-13207.000000;541.000000;647.051392
90;-13773.000000;565.000000;651.473633
91;-14269.000000;586.000000;651.090515
92;-14684.000000;603.000000;645.904968
93;-15024.000000;617.000000;635.955139
94;-15292.000000;628.000000;621.314514
95;-15480.000000;635.000000;602.091003
96;-15570.000000;639.000000;578.426453
97;-15554.000000;639.000000;550.495361
98;-15432.000000;634.000000;518.503784
99;-15217.000000;626.000000;482.687714
100;-14899.000000;612.000000;443.311310
101;-14467.000000;594.000000;400.665009
102;-13914.000000;572.000000;355.063385
103;-13240.000000;543.000000;306.842804
104;-12474.000000;511.000000;256.358917
105;-11605.000000;475.000000;203.984100
106;-10656.000000;437.000000;150.104706
107;-9629.000000;395.000000;95.118111
108;-8550.000000;351.000000;39.429932
109;-7414.000000;304.000000;-16.549089
110;-6217.000000;254.000000;-72.406044
111;-4972.000000;204.000000;-127.728928
112;-3704.000000;153.000000;-182.109665
113;-2430.000000;99.000000;-235.147171
114;-1146.000000;47.000000;-286.450195
115;146.000000;-6.000000;-335.640350
116;1429.000000;-58.000000;-382.354828
117;2697.000000;-109.000000;-426.248993
118;3953.000000;-160.000000;-466.999146
119;5199.000000;-209.000000;-504.304688
120;6435.000000;-255.000000;-537.890442
121;7600.000000;-300.000000;-567.508667
122;8684.000000;-343.000000;-592.940918
123;9657.000000;-383.000000;-613.999634
124;10542.000000;-420.000000;-630.529419
125;11305.000000;-450.000000;-642.408386
126;11981.000000;-479.000000;-649.548889
127;12576.000000;-503.000000;-651.898315
128;13056.000000;-523.000000;-649.439331
129;13447.000000;-538.000000;-642.190002
130;13730.000000;-550.000000;-630.203796
131;13922.000000;-558.000000;-613.569214
132;14010.000000;-562.000000;-592.408936
133;14006.000000;-562.000000;-566.878967
134;13898.000000;-558.000000;-537.167725
135;13688.000000;-549.000000;-503.494232
136;13391.000000;-536.000000;-466.106964
137;12993.000000;-520.000000;-425.281677
138;12497.000000;-499.000000;-381.319458
139;11894.000000;-475.000000;-334.544617
140;11201.000000;-447.000000;-285.302185
141;10398.000000;-415.000000;-233.955307
142;9490.000000;-378.000000;-180.882767
143;8491.000000;-336.000000;-126.476028
144;7422.000000;-293.000000;-71.136398
145;6290.000000;-247.000000;-15.271577
146;5100.000000;-199.000000;40.705894
147;3858.000000;-147.000000;96.383110
148;2577.000000;-95.000000;151.349380
149;1285.000000;-43.000000;205.199280
150;-23.000000;10.000000;257.535583
151;-1340.000000;64.000000;307.972260
152;-2658.000000;118.000000;356.137268
153;-3942.000000;172.000000;401.675354
154;-5229.000000;222.000000;444.250580
155;-6521.000000;269.000000;483.548950
156;-7743.000000;317.000000;519.280579
157;-8913.000000;364.000000;551.181885
158;-9981.000000;409.000000;579.017578
159;-10935.000000;448.000000;602.582336
160;-11775.000000;482.000000;621.702332
161;-12520.000000;512.000000;636.236511
162;-13176.000000;540.000000;646.077698
163;-13742.000000;564.000000;651.153320
164;-14240.000000;585.000000;651.425842
165;-14659.000000;602.000000;646.893433
166;-15004.000000;616.000000;637.589355
167;-15269.000000;627.000000;623.582275
168;-15462.000000;635.000000;604.975586
169;-15561.000000;639.000000;581.906433
170;-15557.000000;639.000000;554.545044
171;-15448.000000;635.000000;523.093262
172;-15244.000000;627.000000;487.783020
173;-14942.000000;614.000000;448.874786
174;-14526.000000;597.000000;406.655579
175;-13997.000000;575.000000;361.436798
176;-13337.000000;548.000000;313.552002
177;-12582.000000;516.000000;263.354401
178;-11719.000000;481.000000;211.214218
179;-10785.000000;442.000000;157.516098
180;-9770.000000;401.000000;102.656105
181;-8700.000000;357.000000;47.038898
182;-7569.000000;311.000000;-8.925272
183;-6385.000000;262.000000;-64.823608
184;-5141.000000;211.000000;-120.243797
185;-3877.000000;160.000000;-174.777039
186;-2600.000000;106.000000;-228.021103
187;-1313.000000;53.000000;-279.583221
188;-22.000000;1.000000;-329.083099
189;1268.000000;-52.000000;-376.155609
190;2536.000000;-103.000000;-420.453491
191;3786.000000;-154.000000;-461.650055
192;5035.000000;-203.000000;-499.441376
193;6271.000000;-249.000000;-533.548767
194;7453.000000;-293.000000;-563.720581
195;8549.000000;-337.000000;-589.734253
196;9529.000000;-378.000000;-611.397949
197;10439.000000;-416.000000;-628.551880
198;11211.000000;-447.000000;-641.069519
199;11896.000000;-475.000000;-648.858459
200;12504.000000;-500.000000;-651.861328
201;12992.000000;-520.000000;-650.055908
202;13394.000000;-536.000000;-643.455566
203;13695.000000;-549.000000;-632.109009
204;13893.000000;-557.000000;-616.099854
205;13989.000000;-561.000000;-595.546265
206;13989.000000;-562.000000;-570.599792
207;13889.000000;-557.000000;-541.444458
208;13696.000000;-549.000000;-508.295349
209;13415.000000;-538.000000;-471.396973
210;13039.000000;-522.000000;-431.021454
211;12563.000000;-502.000000;-387.466644
212;11980.000000;-479.000000;-341.053802
213;11300.000000;-451.000000;-292.125305
214;10514.000000;-419.000000;-241.042038
215;9618.000000;-383.000000;-188.180786
216;8632.000000;-342.000000;-133.931473
217;7573.000000;-299.000000;-78.694267
218;6450.000000;-253.000000;-22.876593
219;5264.000000;-205.000000;33.109825
220;4018.000000;-154.000000;88.852013
221;2733.000000;-102.000000;143.938812
222;1435.000000;-49.000000;197.963898
223;129.000000;3.000000;250.528763
224;-1188.000000;57.000000;301.245667
225;-2506.000000;112.000000;349.740540
226;-3803.000000;165.000000;395.655670
227;-5082.000000;216.000000;438.652374
228;-6364.000000;264.000000;478.413483
229;-7606.000000;310.000000;514.645691
230;-8763.000000;358.000000;547.081848
231;-9831.000000;403.000000;575.482544
232;-10794.000000;442.000000;599.638428
233;-11639.000000;476.000000;619.371277
234;-12399.000000;507.000000;634.535461
235;-13070.000000;535.000000;645.019226
236;-13648.000000;560.000000;650.745239
237;-14161.000000;581.000000;651.671204
238;-14594.000000;600.000000;647.790344
239;-14945.000000;614.000000;639.131226
240;-15223.000000;625.000000;625.757751
241;-15427.000000;633.000000;607.768616
242;-15537.000000;638.000000;585.296448
243;-15548.000000;638.000000;558.507019
244;-15458.000000;635.000000;527.597900
245;-15267.000000;627.000000;492.797150
246;-14981.000000;615.000000;454.361450
247;-14582.000000;600.000000;412.574280
248;-14063.000000;578.000000;367.743896
249;-13421.000000;551.000000;320.200928
250;-12677.000000;520.000000;270.296143
251;-11826.000000;485.000000;218.397583
252;-10902.000000;447.000000;164.888077
253;-9892.000000;406.000000;110.162331
254;-8825.000000;362.000000;54.624008
255;-7707.000000;316.000000;-1.317234
256;-6522.000000;267.000000;-57.248760
257;-5301.000000;217.000000;-112.758011
258;-4044.000000;167.000000;-167.435532
259;-2783.000000;114.000000;-220.878021
260;-1507.000000;62.000000;-272.691254
261;-219.000000;9.000000;-322.493103
262;1068.000000;-44.000000;-369.916168
263;2346.000000;-95.000000;-414.610626
264;3598.000000;-145.000000;-456.246887
265;4847.000000;-196.000000;-494.517761
266;6086.000000;-243.000000;-529.140991
267;7300.000000;-287.000000;-559.861145
268;8416.000000;-333.000000;-586.451721
269;9411.000000;-374.000000;-608.716431
270;10333.000000;-411.000000;-626.491211
271;11134.000000;-443.000000;-639.644836
272;11830.000000;-472.000000;-648.080322
273;12450.000000;-497.000000;-651.735474
274;12950.000000;-519.000000;-650.583252
275;13361.000000;-535.000000;-644.632263
276;13671.000000;-547.000000;-633.926331
277;13875.000000;-556.000000;-618.544434
278;13982.000000;-560.000000;-598.600037
279;13994.000000;-562.000000;-574.240234
280;13911.000000;-558.000000;-545.644714
281;13734.000000;-551.000000;-513.024475
282;13469.000000;-540.000000;-476.620026
283;13103.000000;-525.000000;-436.699951
284;12646.000000;-505.000000;-393.558685
285;12079.000000;-483.000000;-347.514465
286;11407.000000;-455.000000;-298.906921
287;10633.000000;-424.000000;-248.094574
288;9747.000000;-388.000000;-195.452225
289;8771.000000;-348.000000;-141.368195
290;7715.000000;-305.000000;-86.241409
291;6598.000000;-259.000000;-30.478491
292;5417.000000;-211.000000;25.509245
