takt;q1;q2;q2p
0;226.000000;-10.000000;55.936172
1;444.000000;-15.000000;111.459755
2;492.000000;-2.000000;166.161209
3;175.000000;14.000000;219.637024
4;-299.000000;35.000000;271.492767
5;-1153.000000;67.000000;321.345947
6;-2251.000000;111.000000;368.828857
7;-3504.000000;162.000000;413.591248
8;-4904.000000;216.000000;455.302979
9;-6358.000000;272.000000;493.656311
10;-7848.000000;328.000000;528.368408
11;-9345.000000;384.000000;559.183228
12;-10770.000000;439.000000;585.873413
13;-12063.000000;491.000000;608.242188
14;-13112.000000;533.000000;626.124451
15;-14048.000000;572.000000;639.388367
16;-14709.000000;599.000000;647.936035
17;-15206.000000;621.000000;651.704529
18;-15545.000000;634.000000;650.665955
19;-15771.000000;644.000000;644.828003
20;-15915.000000;649.000000;634.233765
21;-15954.000000;652.000000;618.961365
22;-15937.000000;652.000000;599.123413
23;-15832.000000;648.000000;574.866272
24;-15673.000000;641.000000;546.368896
25;-15458.000000;632.000000;513.841431
26;-15167.000000;620.000000;477.523834
27;-14801.000000;604.000000;437.683960
28;-14339.000000;585.000000;394.615723
29;-13780.000000;562.000000;348.636749
30;-13123.000000;536.000000;300.086182
31;-12379.000000;505.000000;249.322159
32;-11543.000000;471.000000;196.719116
33;-10620.000000;433.000000;142.665054
34;-9607.000000;391.000000;87.558685
35;-8491.000000;346.000000;31.806473
36;-7299.000000;298.000000;-24.180347
37;-6050.000000;247.000000;-79.988930
38;-4770.000000;195.000000;-135.207504
39;-3469.000000;142.000000;-189.428772
40;-2141.000000;88.000000;-242.252792
41;-814.000000;34.000000;-293.289917
42;506.000000;-20.000000;-342.163727
43;1820.000000;-72.000000;-388.513672
44;3117.000000;-124.000000;-431.997894
45;4401.000000;-173.000000;-472.295624
46;5643.000000;-218.000000;-509.109680
47;6771.000000;-266.000000;-542.168457
48;7795.000000;-308.000000;-571.228149
49;8790.000000;-348.000000;-596.074402
50;9714.000000;-384.000000;-616.523865
51;10530.000000;-420.000000;-632.425842
52;11244.000000;-450.000000;-643.662964
53;11866.000000;-475.000000;-650.152344
54;12399.000000;-497.000000;-651.846069
55;12856.000000;-516.000000;-648.731750
56;13230.000000;-531.000000;-640.832275
57;13517.000000;-543.000000;-628.205994
58;13708.000000;-551.000000;-610.945923
59;13811.000000;-555.000000;-589.179504
60;13816.000000;-556.000000;-563.067139
61;13714.000000;-552.000000;-532.801575
62;13510.000000;-543.000000;-498.606018
63;13216.000000;-531.000000;-460.732635
64;12828.000000;-515.000000;-419.460876
65;12336.000000;-495.000000;-375.095093
66;11739.000000;-470.000000;-327.962555
67;11038.000000;-441.000000;-278.410950
68;10231.000000;-408.000000;-226.805725
69;9325.000000;-370.000000;-173.527573
70;8327.000000;-329.000000;-118.969452
71;7260.000000;-287.000000;-63.533798
72;6133.000000;-241.000000;-7.629513
73;4949.000000;-192.000000;48.330807
74;3724.000000;-142.000000;103.934639
75;2474.000000;-91.000000;158.771835
76;1211.000000;-39.000000;212.437927
77;-71.000000;14.000000;264.537079
78;-1359.000000;66.000000;314.684967
79;-2623.000000;117.000000;362.511719
80;-3875.000000;167.000000;407.664581
81;-5130.000000;217.000000;449.810455
82;-6378.000000;267.000000;488.638519
83;-7587.000000;316.000000;523.862366
84;-8783.000000;361.000000;555.222168
85;-9912.000000;404.000000;582.486633
86;-10954.000000;447.000000;605.454590
87;-11890.000000;484.000000;623.956726
88;-12769.000000;520.000000;637.856506
89;-13519.000000;550.000000;647.051392
90;-14146.000000;576.000000;651.473633
91;-14666.000000;597.000000;651.090515
92;-15074.000000;615.000000;645.904968
93;-15401.000000;628.000000;635.955139
94;-15619.000000;637.000000;621.314514
95;-15757.000000;644.000000;602.091003
96;-15791.000000;645.000000;578.426453
97;-15724.000000;643.000000;550.495361
98;-15553.000000;635.000000;518.503784
99;-15288.000000;625.000000;482.687714
100;-14929.000000;609.000000;443.311310
101;-14460.000000;590.000000;400.665009
102;-13892.000000;567.000000;355.063385
103;-13222.000000;539.000000;306.842804
104;-12464.000000;508.000000;256.358917
105;-11617.000000;474.000000;203.984100
106;-10682.000000;435.000000;150.104706
107;-9668.000000;394.000000;95.118111
108;-8571.000000;349.000000;39.429932
109;-7395.000000;302.000000;-16.549089
110;-6172.000000;252.000000;-72.406044
111;-4913.000000;201.000000;-127.728928
112;-3635.000000;148.000000;-182.109665
113;-2333.000000;96.000000;-235.147171
114;-1017.000000;42.000000;-286.450195
115;294.000000;-11.000000;-335.640350
116;1599.000000;-63.000000;-382.354828
117;2893.000000;-116.000000;-426.248993
118;4174.000000;-166.000000;-466.999146
119;5441.000000;-212.000000;-504.304688
120;6608.000000;-260.000000;-537.890442
121;7673.000000;-303.000000;-567.508667
122;8655.000000;-342.000000;-592.940918
123;9621.000000;-382.000000;-613.999634
124;10454.000000;-415.000000;-630.529419
125;11178.000000;-447.000000;-642.408386
126;11820.000000;-473.000000;-649.548889
127;12347.000000;-496.000000;-651.898315
128;12808.000000;-514.000000;-649.439331
129;13179.000000;-529.000000;-642.190002
130;13473.000000;-541.000000;-630.203796
131;13675.000000;-550.000000;-613.569214
132;13787.000000;-554.000000;-592.408936
133;13816.000000;-556.000000;-566.878967
134;13732.000000;-553.000000;-537.167725
135;13547.000000;-545.000000;-503.494232
136;13266.000000;-534.000000;-466.106964
137;12893.000000;-518.000000;-425.281677
138;12421.000000;-498.000000;-381.319458
139;11844.000000;-474.000000;-334.544617
140;11158.000000;-446.000000;-285.302185
141;10368.000000;-413.000000;-233.955307
142;9476.000000;-376.000000;-180.882767
143;8493.000000;-337.000000;-126.476028
144;7438.000000;-294.000000;-71.136398
145;6314.000000;-248.000000;-15.271577
146;5137.000000;-199.000000;40.705894
147;3906.000000;-149.000000;96.383110
148;2661.000000;-99.000000;151.349380
149;1395.000000;-47.000000;205.199280
150;108.000000;6.000000;257.535583
151;-1185.000000;58.000000;307.972260
152;-2453.000000;110.000000;356.137268
153;-3714.000000;160.000000;401.675354
154;-4973.000000;210.000000;444.250580
155;-6240.000000;261.000000;483.548950
156;-7458.000000;310.000000;519.280579
157;-8660.000000;356.000000;551.181885
158;-9798.000000;400.000000;579.017578
159;-10852.000000;442.000000;602.582336
160;-11802.000000;480.000000;621.702332
161;-12697.000000;517.000000;636.236511
162;-13441.000000;548.000000;646.077698
163;-14073.000000;574.000000;651.153320
164;-14604.000000;595.000000;651.425842
165;-15020.000000;613.000000;646.893433
166;-15341.000000;626.000000;637.589355
167;-15562.000000;635.000000;623.582275
168;-15712.000000;641.000000;604.975586
169;-15757.000000;643.000000;581.906433
170;-15720.000000;643.000000;554.545044
171;-15572.000000;636.000000;523.093262
172;-15325.000000;626.000000;487.783020
173;-14989.000000;612.000000;448.874786
174;-14543.000000;594.000000;406.655579
175;-13985.000000;571.000000;361.436798
176;-13325.000000;544.000000;313.552002
177;-12570.000000;513.000000;263.354401
178;-11727.000000;479.000000;211.214218
179;-10802.000000;441.000000;157.516098
