takt;q1;q2;q2p
0;219.000000;-9.000000;0.000000
1;349.000000;-12.000000;0.000000
2;248.000000;-8.000000;0.000000
3;40.000000;-4.000000;0.000000
4;-170.000000;5.000000;0.000000
5;-298.000000;12.000000;0.000000
6;-362.000000;14.000000;0.000000
7;-397.000000;16.000000;0.000000
8;-395.000000;17.000000;0.000000
9;-388.000000;16.000000;0.000000
10;-393.000000;16.000000;0.000000
11;-407.000000;16.000000;0.000000
12;-419.000000;16.000000;0.000000
13;-410.000000;17.000000;0.000000
14;-385.000000;16.000000;0.000000
15;-371.000000;16.000000;0.000000
16;-359.000000;15.000000;0.000000
17;-351.000000;14.000000;0.000000
18;-339.000000;14.000000;0.000000
19;-311.000000;13.000000;0.000000
20;-284.000000;12.000000;0.000000
21;-259.000000;11.000000;0.000000
22;-237.000000;10.000000;0.000000
23;-220.000000;9.000000;0.000000
24;-197.000000;8.000000;0.000000
25;-176.000000;7.000000;0.000000
26;-155.000000;7.000000;0.000000
27;-137.000000;6.000000;0.000000
28;-116.000000;5.000000;0.000000
29;-91.000000;4.000000;0.000000
30;-69.000000;3.000000;0.000000
31;-50.000000;2.000000;0.000000
32;-37.000000;1.000000;0.000000
33;-29.000000;1.000000;0.000000
34;-14.000000;1.000000;0.000000
35;0.000000;0.000000;0.000000
36;9.000000;0.000000;0.000000
37;17.000000;-1.000000;0.000000
38;18.000000;-1.000000;0.000000
39;22.000000;-1.000000;0.000000
40;27.000000;-1.000000;0.000000
41;31.000000;-1.000000;0.000000
42;34.000000;-2.000000;0.000000
43;30.000000;-2.000000;0.000000
44;30.000000;-2.000000;0.000000
45;37.000000;-2.000000;0.000000
46;40.000000;-2.000000;0.000000
47;42.000000;-2.000000;0.000000
48;42.000000;-2.000000;0.000000
49;40.000000;-2.000000;0.000000
50;42.000000;-2.000000;0.000000
51;44.000000;-2.000000;0.000000
52;42.000000;-2.000000;0.000000
53;43.000000;-2.000000;0.000000
54;44.000000;-2.000000;0.000000
55;40.000000;-2.000000;0.000000
56;39.000000;-2.000000;0.000000
57;41.000000;-2.000000;0.000000
58;39.000000;-2.000000;0.000000
59;39.000000;-2.000000;0.000000
60;39.000000;-2.000000;0.000000
61;36.000000;-2.000000;0.000000
62;35.000000;-2.000000;0.000000
63;35.000000;-2.000000;0.000000
64;32.000000;-2.000000;0.000000
65;30.000000;-2.000000;0.000000
66;28.000000;-2.000000;0.000000
67;24.000000;-2.000000;0.000000
68;20.000000;-2.000000;0.000000
69;23.000000;-1.000000;0.000000
70;20.000000;-1.000000;0.000000
71;15.000000;-1.000000;0.000000
72;13.000000;-1.000000;0.000000
73;11.000000;-1.000000;0.000000
74;9.000000;-1.000000;0.000000
75;8.000000;-1.000000;0.000000
76;6.000000;-1.000000;0.000000
77;1.000000;-1.000000;0.000000
78;-4.000000;0.000000;0.000000
79;-2.000000;0.000000;0.000000
80;-3.000000;0.000000;0.000000
81;-8.000000;0.000000;0.000000
82;-12.000000;0.000000;0.000000
83;-13.000000;0.000000;0.000000
84;-12.000000;0.000000;0.000000
85;-14.000000;0.000000;0.000000
86;-15.000000;0.000000;0.000000
87;-16.000000;0.000000;0.000000
88;-17.000000;0.000000;0.000000
89;-16.000000;0.000000;0.000000
90;-17.000000;0.000000;0.000000
91;-18.000000;0.000000;0.000000
92;-18.000000;0.000000;0.000000
93;-19.000000;0.000000;0.000000
94;-20.000000;0.000000;0.000000
95;-20.000000;0.000000;0.000000
96;-20.000000;0.000000;0.000000
97;-21.000000;0.000000;0.000000
98;-22.000000;0.000000;0.000000
99;-21.000000;0.000000;0.000000
100;-22.000000;0.000000;0.000000
101;-23.000000;0.000000;0.000000
102;-21.000000;0.000000;0.000000
103;-22.000000;0.000000;0.000000
104;-23.000000;0.000000;0.000000
105;-20.000000;0.000000;0.000000
106;-22.000000;0.000000;0.000000
107;-21.000000;0.000000;0.000000
108;-19.000000;0.000000;0.000000
109;-20.000000;0.000000;0.000000
110;-19.000000;0.000000;0.000000
111;-17.000000;0.000000;0.000000
112;-17.000000;0.000000;0.000000
113;-18.000000;0.000000;0.000000
114;-17.000000;0.000000;0.000000
115;-17.000000;0.000000;0.000000
116;-16.000000;0.000000;0.000000
117;-16.000000;0.000000;0.000000
118;-17.000000;0.000000;0.000000
119;-15.000000;0.000000;0.000000
120;-16.000000;0.000000;0.000000
121;-16.000000;0.000000;0.000000
122;-14.000000;0.000000;0.000000
123;-13.000000;0.000000;0.000000
124;-12.000000;0.000000;0.000000
125;-12.000000;0.000000;0.000000
126;-11.000000;0.000000;0.000000
127;-9.000000;0.000000;0.000000
128;-8.000000;0.000000;0.000000
129;-7.000000;0.000000;0.000000
130;-7.000000;0.000000;0.000000
131;-5.000000;0.000000;0.000000
132;-4.000000;0.000000;0.000000
133;-3.000000;0.000000;0.000000
134;-1.000000;0.000000;0.000000
135;-1.000000;0.000000;0.000000
136;0.000000;0.000000;0.000000
137;1.000000;0.000000;0.000000
138;3.000000;0.000000;0.000000
139;4.000000;0.000000;0.000000
140;6.000000;0.000000;0.000000
141;9.000000;0.000000;0.000000
142;12.000000;0.000000;0.000000
143;15.000000;-1.000000;0.000000
144;11.000000;-1.000000;0.000000
145;14.000000;-1.000000;0.000000
146;20.000000;-1.000000;0.000000
147;25.000000;-1.000000;0.000000
148;27.000000;-1.000000;0.000000
149;27.000000;-1.000000;0.000000
150;28.000000;-1.000000;0.000000
151;28.000000;-1.000000;0.000000
152;30.000000;-1.000000;0.000000
153;31.000000;-1.000000;0.000000
154;31.000000;-1.000000;0.000000
155;31.000000;-1.000000;0.000000
156;30.000000;-1.000000;0.000000
157;30.000000;-1.000000;0.000000
158;31.000000;-1.000000;0.000000
159;31.000000;-1.000000;0.000000
160;30.000000;-1.000000;0.000000
161;30.000000;-1.000000;0.000000
162;29.000000;-1.000000;0.000000
163;27.000000;-1.000000;0.000000
164;28.000000;-1.000000;0.000000
165;28.000000;-1.000000;0.000000
166;27.000000;-1.000000;0.000000
167;27.000000;-1.000000;0.000000
168;26.000000;-1.000000;0.000000
169;25.000000;-1.000000;0.000000
170;24.000000;-1.000000;0.000000
171;24.000000;-1.000000;0.000000
172;23.000000;-1.000000;0.000000
173;21.000000;-1.000000;0.000000
174;18.000000;-1.000000;0.000000
175;16.000000;-1.000000;0.000000
176;13.000000;-1.000000;0.000000
177;9.000000;-1.000000;0.000000
178;6.000000;-1.000000;0.000000
179;3.000000;-1.000000;0.000000
180;-1.000000;-1.000000;0.000000
181;-5.000000;0.000000;0.000000
182;-1.000000;0.000000;0.000000
183;-2.000000;0.000000;0.000000
184;-7.000000;0.000000;0.000000
185;-10.000000;0.000000;0.000000
186;-10.000000;0.000000;0.000000
187;-10.000000;0.000000;0.000000
188;-13.000000;0.000000;0.000000
189;-15.000000;0.000000;0.000000
190;-16.000000;0.000000;0.000000
191;-18.000000;0.000000;0.000000
192;-21.000000;0.000000;0.000000
193;-22.000000;0.000000;0.000000
194;-22.000000;0.000000;0.000000
195;-23.000000;0.000000;0.000000
196;-23.000000;0.000000;0.000000
197;-23.000000;0.000000;0.000000
198;-24.000000;0.000000;0.000000
199;-23.000000;0.000000;0.000000
200;-23.000000;0.000000;0.000000
201;-24.000000;0.000000;0.000000
202;-27.000000;0.000000;0.000000
203;-28.000000;0.000000;0.000000
204;-27.000000;0.000000;0.000000
