takt;q1;q2;q2p
0;276.000000;-11.000000;0.000000
1;480.000000;-15.000000;0.000000
2;529.000000;-18.000000;0.000000
3;447.000000;-17.000000;0.000000
4;253.000000;-10.000000;0.000000
5;49.000000;-1.000000;0.000000
6;-171.000000;6.000000;0.000000
7;-401.000000;15.000000;0.000000
8;-569.000000;21.000000;0.000000
9;-696.000000;26.000000;0.000000
10;-747.000000;30.000000;0.000000
11;-732.000000;29.000000;0.000000
12;-714.000000;29.000000;0.000000
13;-668.000000;27.000000;0.000000
14;-625.000000;25.000000;0.000000
15;-587.000000;24.000000;0.000000
16;-521.000000;21.000000;0.000000
17;-470.000000;19.000000;0.000000
18;-421.000000;17.000000;0.000000
19;-360.000000;14.000000;0.000000
20;-319.000000;13.000000;0.000000
21;-256.000000;11.000000;0.000000
22;-199.000000;8.000000;0.000000
23;-154.000000;7.000000;0.000000
24;-102.000000;4.000000;0.000000
25;-70.000000;3.000000;0.000000
26;-49.000000;2.000000;0.000000
27;-31.000000;1.000000;0.000000
28;-37.000000;1.000000;0.000000
29;-37.000000;1.000000;0.000000
30;-40.000000;1.000000;0.000000
31;-46.000000;1.000000;0.000000
32;-39.000000;1.000000;0.000000
33;-40.000000;1.000000;0.000000
34;-37.000000;1.000000;0.000000
35;-24.000000;1.000000;0.000000
36;-17.000000;1.000000;0.000000
37;2.000000;0.000000;0.000000
38;19.000000;-1.000000;0.000000
39;25.000000;-1.000000;0.000000
40;44.000000;-2.000000;0.000000
41;51.000000;-2.000000;0.000000
42;60.000000;-2.000000;0.000000
43;70.000000;-3.000000;0.000000
44;69.000000;-3.000000;0.000000
45;74.000000;-3.000000;0.000000
46;72.000000;-3.000000;0.000000
47;68.000000;-3.000000;0.000000
48;65.000000;-3.000000;0.000000
49;56.000000;-3.000000;0.000000
50;50.000000;-3.000000;0.000000
51;45.000000;-3.000000;0.000000
52;41.000000;-2.000000;0.000000
53;39.000000;-2.000000;0.000000
54;36.000000;-2.000000;0.000000
55;34.000000;-2.000000;0.000000
56;36.000000;-2.000000;0.000000
57;37.000000;-2.000000;0.000000
58;36.000000;-2.000000;0.000000
59;35.000000;-2.000000;0.000000
60;33.000000;-2.000000;0.000000
61;33.000000;-2.000000;0.000000
62;29.000000;-2.000000;0.000000
63;24.000000;-1.000000;0.000000
64;23.000000;-1.000000;0.000000
65;17.000000;-1.000000;0.000000
66;8.000000;-1.000000;0.000000
67;-2.000000;0.000000;0.000000
68;-8.000000;0.000000;0.000000
69;-11.000000;0.000000;0.000000
70;-14.000000;0.000000;0.000000
71;-16.000000;0.000000;0.000000
72;-17.000000;0.000000;0.000000
73;-18.000000;0.000000;0.000000
74;-19.000000;0.000000;0.000000
75;-20.000000;0.000000;0.000000
76;-21.000000;0.000000;0.000000
77;-22.000000;0.000000;0.000000
78;-22.000000;0.000000;0.000000
79;-21.000000;0.000000;0.000000
80;-21.000000;0.000000;0.000000
81;-21.000000;0.000000;0.000000
82;-21.000000;0.000000;0.000000
83;-20.000000;0.000000;0.000000
84;-20.000000;0.000000;0.000000
85;-20.000000;0.000000;0.000000
