takt;q1;q2;q2p
0;232.000000;-9.000000;54.692314
1;371.000000;-13.000000;109.383980
2;264.000000;-9.000000;164.074371
3;42.000000;-4.000000;218.762802
4;-187.000000;6.000000;273.448639
5;-331.000000;13.000000;328.131256
6;-413.000000;16.000000;382.809998
7;-467.000000;19.000000;437.484222
8;-476.000000;19.000000;492.153290
9;-482.000000;19.000000;546.816528
10;-497.000000;21.000000;601.473389
11;-529.000000;21.000000;656.123108
12;-579.000000;23.000000;710.765076
13;-606.000000;25.000000;765.398621
14;-616.000000;25.000000;820.023132
15;-624.000000;25.000000;874.638000
16;-633.000000;26.000000;929.242554
17;-658.000000;26.000000;983.836060
18;-686.000000;28.000000;1038.417969
19;-708.000000;29.000000;1092.987549
20;-728.000000;30.000000;1147.544312
21;-750.000000;31.000000;1202.087402
22;-788.000000;32.000000;1256.616333
23;-832.000000;34.000000;1311.130493
24;-873.000000;35.000000;1365.629150
25;-907.000000;37.000000;1420.111572
26;-946.000000;39.000000;1474.577393
27;-990.000000;41.000000;1529.025635
28;-1032.000000;42.000000;1583.455933
29;-1077.000000;44.000000;1637.867554
30;-1120.000000;45.000000;1692.259766
31;-1171.000000;48.000000;1746.631958
32;-1221.000000;50.000000;1800.983643
33;-1274.000000;52.000000;1855.313965
34;-1318.000000;54.000000;1909.622314
35;-1366.000000;56.000000;1963.908203
36;-1411.000000;58.000000;2018.170898
37;-1465.000000;60.000000;2072.409912
38;-1519.000000;62.000000;2126.624512
39;-1578.000000;64.000000;2180.813721
40;-1632.000000;67.000000;2234.977539
41;-1691.000000;69.000000;2289.114746
42;-1742.000000;71.000000;2343.224854
43;-1793.000000;73.000000;2397.307373
44;-1838.000000;75.000000;2451.361816
45;-1892.000000;77.000000;2505.386963
46;-1947.000000;79.000000;2559.382812
47;-2000.000000;82.000000;2613.348145
48;-2052.000000;84.000000;2667.282715
49;-2103.000000;86.000000;2721.185791
50;-2159.000000;88.000000;2775.056885
51;-2217.000000;91.000000;2828.895020
52;-2277.000000;93.000000;2882.699951
53;-2331.000000;95.000000;2936.470703
54;-2387.000000;97.000000;2990.206787
55;-2443.000000;100.000000;3043.907471
56;-2501.000000;102.000000;3097.572266
