takt;q1;q2;q2p
0;291.000000;-12.000000;1092.987427
1;461.000000;-16.000000;2180.814209
2;327.000000;-11.000000;3258.343750
3;17.000000;-3.000000;4320.487793
4;-342.000000;12.000000;5362.231934
5;-663.000000;26.000000;6378.656738
6;-972.000000;39.000000;7364.962891
7;-1315.000000;54.000000;8316.494141
8;-1686.000000;69.000000;9228.755859
9;-2131.000000;86.000000;10097.443359
10;-2657.000000;109.000000;10918.453125
11;-3246.000000;132.000000;11687.908203
12;-3870.000000;157.000000;12402.175781
13;-4487.000000;183.000000;13057.882812
14;-5095.000000;208.000000;13651.934570
15;-5719.000000;234.000000;14181.525391
16;-6363.000000;260.000000;14644.154297
17;-7045.000000;288.000000;15037.636719
18;-7769.000000;317.000000;15360.115234
19;-8520.000000;348.000000;15610.066406
20;-9263.000000;378.000000;15786.311523
21;-9942.000000;406.000000;15888.017578
22;-10583.000000;432.000000;15914.705078
23;-11185.000000;458.000000;15866.247070
24;-11744.000000;480.000000;15742.872070
25;-12273.000000;502.000000;15545.164062
26;-12781.000000;523.000000;15274.054688
27;-13279.000000;543.000000;14930.826172
28;-13742.000000;562.000000;14517.097656
29;-14141.000000;578.000000;14034.823242
30;-14458.000000;591.000000;13486.280273
31;-14681.000000;600.000000;12874.057617
32;-14833.000000;607.000000;12201.047852
33;-14926.000000;610.000000;11470.427734
34;-14961.000000;612.000000;10685.647461
35;-14926.000000;611.000000;9850.411133
36;-14833.000000;607.000000;8968.665039
37;-14690.000000;601.000000;8044.567871
38;-14491.000000;593.000000;7082.486816
39;-14225.000000;582.000000;6086.963867
40;-13876.000000;568.000000;5062.699707
41;-13439.000000;550.000000;4014.531006
42;-12915.000000;529.000000;2947.406250
43;-12305.000000;504.000000;1866.364624
44;-11618.000000;476.000000;776.510376
45;-10877.000000;445.000000;-317.010284
46;-10113.000000;413.000000;-1409.034180
47;-9349.000000;382.000000;-2494.404785
48;-8546.000000;349.000000;-3567.997559
49;-7683.000000;314.000000;-4624.743164
50;-6754.000000;276.000000;-5659.651367
51;-5762.000000;235.000000;-6667.836426
52;-4733.000000;193.000000;-7644.537598
53;-3702.000000;151.000000;-8585.142578
54;-2685.000000;110.000000;-9485.210938
55;-1677.000000;68.000000;-10340.492188
56;-636.000000;25.000000;-11146.948242
57;444.000000;-19.000000;-11900.771484
58;1526.000000;-62.000000;-12598.401367
59;2589.000000;-105.000000;-13236.544922
60;3603.000000;-148.000000;-13812.188477
61;4601.000000;-189.000000;-14322.613281
62;5619.000000;-231.000000;-14765.411133
63;6630.000000;-271.000000;-15138.490234
64;7587.000000;-310.000000;-15440.088867
65;8475.000000;-347.000000;-15668.782227
66;9297.000000;-381.000000;-15823.492188
67;10101.000000;-414.000000;-15903.487305
68;10909.000000;-446.000000;-15908.389648
69;11678.000000;-477.000000;-15838.175781
70;12370.000000;-505.000000;-15693.178711
71;12967.000000;-529.000000;-15474.081055
72;13463.000000;-550.000000;-15181.918945
73;13901.000000;-568.000000;-14818.073242
74;14295.000000;-584.000000;-14384.260742
75;14641.000000;-598.000000;-13882.530273
76;14936.000000;-610.000000;-13315.249023
77;15180.000000;-620.000000;-12685.097656
78;15351.000000;-627.000000;-11995.050781
79;15454.000000;-631.000000;-11248.366211
80;15483.000000;-633.000000;-10448.570312
81;15434.000000;-631.000000;-9599.439453
82;15331.000000;-627.000000;-8704.982422
83;15171.000000;-620.000000;-7769.422363
84;14921.000000;-610.000000;-6797.177734
85;14574.000000;-596.000000;-5792.838379
86;14122.000000;-577.000000;-4761.146973
87;13614.000000;-556.000000;-3706.974854
88;13061.000000;-534.000000;-2635.299316
89;12448.000000;-509.000000;-1551.180664
90;11774.000000;-481.000000;-459.737793
91;11044.000000;-452.000000;633.875854
92;10276.000000;-420.000000;1724.496460
93;9436.000000;-386.000000;2806.974609
94;8514.000000;-348.000000;3876.198975
95;7535.000000;-309.000000;4927.121094
96;6534.000000;-269.000000;5954.778320
97;5538.000000;-228.000000;6954.318848
98;4540.000000;-187.000000;7921.023438
99;3516.000000;-144.000000;8850.326172
100;2448.000000;-101.000000;9737.840820
101;1339.000000;-56.000000;10579.375977
102;253.000000;-11.000000;11370.958984
103;-787.000000;31.000000;12108.850586
104;-1828.000000;74.000000;12789.567383
105;-2905.000000;118.000000;13409.895508
106;-3998.000000;162.000000;13966.906250
107;-5042.000000;205.000000;14457.968750
108;-5996.000000;245.000000;14880.764648
109;-6912.000000;282.000000;15233.297852
110;-7831.000000;320.000000;15513.904297
111;-8759.000000;357.000000;15721.257812
112;-9645.000000;393.000000;15854.378906
113;-10454.000000;427.000000;15912.641602
114;-11188.000000;457.000000;15895.768555
115;-11864.000000;485.000000;15803.839844
116;-12490.000000;511.000000;15637.290039
117;-13083.000000;535.000000;15396.904297
118;-13643.000000;558.000000;15083.820312
119;-14149.000000;578.000000;14699.513672
120;-14575.000000;596.000000;14245.799805
121;-14899.000000;609.000000;13724.821289
122;-15139.000000;619.000000;13139.038086
123;-15308.000000;626.000000;12491.216797
124;-15412.000000;630.000000;11784.414062
125;-15462.000000;632.000000;11021.969727
126;-15450.000000;633.000000;10207.482422
127;-15369.000000;629.000000;9344.797852
128;-15230.000000;623.000000;8437.990234
129;-15031.000000;615.000000;7491.339844
130;-14771.000000;604.000000;6509.317871
131;-14425.000000;590.000000;5496.561035
132;-13992.000000;573.000000;4457.850586
133;-13476.000000;552.000000;3398.091553
134;-12877.000000;527.000000;2322.287598
135;-12193.000000;499.000000;1235.518555
136;-11448.000000;468.000000;142.915619
137;-10661.000000;436.000000;-950.362122
138;-9863.000000;403.000000;-2039.152466
139;-9042.000000;369.000000;-3118.314453
140;-8188.000000;335.000000;-4182.752930
141;-7278.000000;297.000000;-5227.440918
142;-6289.000000;257.000000;-6247.446777
