takt;q1;q2;q2p
0;291.000000;-12.000000;1092.987427
1;499.000000;-16.000000;2180.814209
2;518.000000;-19.000000;3258.343750
3;384.000000;-15.000000;4320.487793
4;94.000000;-4.000000;5362.231934
5;-253.000000;11.000000;6378.656738
6;-675.000000;28.000000;7364.962891
7;-1171.000000;47.000000;8316.494141
8;-1681.000000;68.000000;9228.755859
9;-2236.000000;91.000000;10097.443359
10;-2794.000000;114.000000;10918.453125
11;-3362.000000;137.000000;11687.908203
12;-3976.000000;162.000000;12402.175781
13;-4592.000000;187.000000;13057.882812
14;-5246.000000;214.000000;13651.934570
15;-5921.000000;241.000000;14181.525391
16;-6585.000000;268.000000;14644.154297
17;-7284.000000;297.000000;15037.636719
18;-7996.000000;326.000000;15360.115234
19;-8712.000000;355.000000;15610.066406
20;-9441.000000;384.000000;15786.311523
21;-10119.000000;411.000000;15888.017578
22;-10777.000000;438.000000;15914.705078
23;-11401.000000;463.000000;15866.247070
24;-11971.000000;486.000000;15742.872070
25;-12506.000000;508.000000;15545.164062
26;-12987.000000;527.000000;15274.054688
27;-13433.000000;545.000000;14930.826172
28;-13847.000000;563.000000;14517.097656
29;-14201.000000;577.000000;14034.823242
30;-14514.000000;590.000000;13486.280273
31;-14767.000000;601.000000;12874.057617
32;-14945.000000;607.000000;12201.047852
33;-15066.000000;612.000000;11470.427734
34;-15106.000000;614.000000;10685.647461
35;-15078.000000;614.000000;9850.411133
36;-14979.000000;610.000000;8968.665039
37;-14798.000000;603.000000;8044.567871
38;-14562.000000;592.000000;7082.486816
39;-14258.000000;580.000000;6086.963867
40;-13877.000000;564.000000;5062.699707
41;-13430.000000;545.000000;4014.531006
42;-12887.000000;522.000000;2947.406250
43;-12264.000000;497.000000;1866.364624
44;-11563.000000;469.000000;776.510376
45;-10785.000000;438.000000;-317.010284
46;-9972.000000;406.000000;-1409.034180
47;-9136.000000;372.000000;-2494.404785
48;-8280.000000;336.000000;-3567.997559
49;-7406.000000;300.000000;-4624.743164
50;-6481.000000;263.000000;-5659.651367
51;-5511.000000;224.000000;-6667.836426
52;-4515.000000;184.000000;-7644.537598
53;-3510.000000;142.000000;-8585.142578
54;-2504.000000;101.000000;-9485.210938
55;-1472.000000;59.000000;-10340.492188
56;-400.000000;16.000000;-11146.948242
57;669.000000;-27.000000;-11900.771484
58;1715.000000;-71.000000;-12598.401367
59;2733.000000;-113.000000;-13236.544922
60;3738.000000;-154.000000;-13812.188477
61;4766.000000;-195.000000;-14322.613281
62;5786.000000;-237.000000;-14765.411133
63;6750.000000;-276.000000;-15138.490234
64;7664.000000;-314.000000;-15440.088867
65;8532.000000;-350.000000;-15668.782227
66;9380.000000;-384.000000;-15823.492188
67;10213.000000;-418.000000;-15903.487305
68;10988.000000;-450.000000;-15908.389648
69;11703.000000;-480.000000;-15838.175781
70;12345.000000;-506.000000;-15693.178711
71;12932.000000;-530.000000;-15474.081055
72;13481.000000;-552.000000;-15181.918945
73;13953.000000;-571.000000;-14818.073242
74;14356.000000;-588.000000;-14384.260742
75;14694.000000;-602.000000;-13882.530273
76;14959.000000;-613.000000;-13315.249023
77;15191.000000;-622.000000;-12685.097656
78;15355.000000;-628.000000;-11995.050781
79;15446.000000;-632.000000;-11248.366211
80;15460.000000;-634.000000;-10448.570312
81;15388.000000;-631.000000;-9599.439453
82;15250.000000;-625.000000;-8704.982422
83;15047.000000;-617.000000;-7769.422363
84;14763.000000;-605.000000;-6797.177734
85;14410.000000;-590.000000;-5792.838379
86;13963.000000;-572.000000;-4761.146973
87;13457.000000;-552.000000;-3706.974854
88;12897.000000;-529.000000;-2635.299316
89;12272.000000;-503.000000;-1551.180664
90;11602.000000;-475.000000;-459.737793
91;10866.000000;-445.000000;633.875854
92;10087.000000;-412.000000;1724.496460
93;9253.000000;-378.000000;2806.974609
94;8352.000000;-342.000000;3876.198975
95;7406.000000;-304.000000;4927.121094
96;6429.000000;-264.000000;5954.778320
97;5428.000000;-223.000000;6954.318848
98;4416.000000;-181.000000;7921.023438
