takt;q1;q2;q2p
0;253.000000;-10.000000;1365.629150
1;400.000000;-13.000000;2721.185303
2;282.000000;-9.000000;4056.669922
3;-14.000000;0.000000;5362.231934
4;-409.000000;16.000000;6628.241211
5;-780.000000;32.000000;7845.360352
6;-1127.000000;46.000000;9004.611328
7;-1522.000000;63.000000;10097.443359
8;-1955.000000;81.000000;11115.794922
9;-2460.000000;101.000000;12052.156250
10;-3039.000000;125.000000;12899.620117
11;-3678.000000;152.000000;13651.934570
12;-4387.000000;180.000000;14303.550781
13;-5172.000000;213.000000;14849.662109
14;-5988.000000;245.000000;15286.241211
15;-6803.000000;278.000000;15610.067383
16;-7576.000000;310.000000;15818.751953
17;-8325.000000;341.000000;15910.754883
18;-9053.000000;371.000000;15885.399414
19;-9776.000000;401.000000;15742.871094
20;-10507.000000;431.000000;15484.222656
21;-11222.000000;460.000000;15111.361328
22;-11882.000000;487.000000;14627.036133
23;-12449.000000;510.000000;14034.821289
24;-12915.000000;529.000000;13339.083984
25;-13283.000000;544.000000;12544.957031
26;-13567.000000;556.000000;11658.296875
27;-13796.000000;565.000000;10685.643555
28;-13957.000000;572.000000;9634.172852
29;-14048.000000;576.000000;8511.638672
30;-14047.000000;576.000000;7326.322754
31;-13942.000000;572.000000;6086.966797
32;-13741.000000;564.000000;4802.712891
33;-13467.000000;552.000000;3483.033691
34;-13127.000000;538.000000;2137.663086
35;-12706.000000;521.000000;776.525208
36;-12170.000000;498.000000;-590.340515
37;-11517.000000;472.000000;-1952.854858
38;-10750.000000;440.000000;-3300.964600
39;-9879.000000;405.000000;-4624.726074
40;-8900.000000;365.000000;-5914.375000
41;-7823.000000;320.000000;-7160.398438
42;-6731.000000;276.000000;-8353.606445
43;-5628.000000;231.000000;-9485.197266
44;-4488.000000;184.000000;-10546.823242
45;-3275.000000;134.000000;-11530.655273
46;-2008.000000;82.000000;-12429.435547
47;-759.000000;31.000000;-13236.535156
48;471.000000;-19.000000;-13946.000000
49;1706.000000;-70.000000;-14552.596680
50;2961.000000;-121.000000;-15051.852539
51;4199.000000;-172.000000;-15440.083984
52;5383.000000;-220.000000;-15714.427734
53;6498.000000;-265.000000;-15872.859375
54;7582.000000;-310.000000;-15914.210938
55;8647.000000;-353.000000;-15838.177734
56;9656.000000;-394.000000;-15645.319336
57;10563.000000;-430.000000;-15337.059570
58;11381.000000;-464.000000;-14915.671875
59;12111.000000;-495.000000;-14384.264648
60;12767.000000;-522.000000;-13746.756836
61;13352.000000;-545.000000;-13007.851562
62;13861.000000;-565.000000;-12172.998047
63;14258.000000;-582.000000;-11248.355469
64;14519.000000;-593.000000;-10240.744141
65;14669.000000;-599.000000;-9157.594727
66;14701.000000;-601.000000;-8006.898438
67;14634.000000;-598.000000;-6797.142090
68;14483.000000;-592.000000;-5537.249512
69;14257.000000;-583.000000;-4236.513184
70;13932.000000;-569.000000;-2904.527588
71;13506.000000;-552.000000;-1551.118164
72;12974.000000;-530.000000;-186.267395
73;12313.000000;-503.000000;1179.951416
74;11524.000000;-471.000000;2537.466797
75;10625.000000;-434.000000;3876.265625
76;9671.000000;-395.000000;5186.472656
77;8671.000000;-355.000000;6458.424316
78;7629.000000;-312.000000;7682.738281
79;6529.000000;-267.000000;8850.383789
80;5345.000000;-218.000000;9952.748047
81;4099.000000;-168.000000;10981.701172
82;2858.000000;-118.000000;11929.651367
83;1635.000000;-67.000000;12789.608398
84;393.000000;-16.000000;13555.228516
85;-897.000000;37.000000;14220.864258
86;-2177.000000;88.000000;14781.606445
87;-3394.000000;138.000000;15233.318359
88;-4569.000000;188.000000;15572.667969
89;-5752.000000;236.000000;15797.153320
90;-6929.000000;283.000000;15905.117188
91;-8020.000000;328.000000;15895.764648
92;-8994.000000;368.000000;15769.164062
93;-9901.000000;406.000000;15526.249023
94;-10795.000000;443.000000;15168.810547
95;-11641.000000;477.000000;14699.487305
96;-12388.000000;507.000000;14121.739258
97;-13002.000000;532.000000;13439.828125
98;-13494.000000;553.000000;12658.784180
99;-13881.000000;569.000000;11784.368164
