takt;q1;q2;q2p
0;226.000000;-10.000000;1637.867798
1;350.000000;-11.000000;3258.343506
2;217.000000;-7.000000;4844.220215
3;-92.000000;3.000000;6378.656738
4;-484.000000;19.000000;7845.360352
5;-874.000000;36.000000;9228.756836
6;-1278.000000;53.000000;10514.155273
7;-1743.000000;72.000000;11687.907227
8;-2269.000000;93.000000;12737.547852
9;-2876.000000;118.000000;13651.933594
10;-3549.000000;146.000000;14421.352539
11;-4284.000000;176.000000;15037.635742
12;-5092.000000;209.000000;15494.238281
13;-5950.000000;244.000000;15786.311523
14;-6806.000000;279.000000;15910.754883
15;-7648.000000;314.000000;15866.246094
16;-8459.000000;347.000000;15653.258789
17;-9231.000000;378.000000;15274.052734
18;-9975.000000;409.000000;14732.657227
19;-10680.000000;437.000000;14034.819336
20;-11345.000000;464.000000;13187.950195
21;-11945.000000;488.000000;12201.042969
22;-12444.000000;509.000000;11084.575195
23;-12830.000000;525.000000;9850.405273
24;-13095.000000;536.000000;8511.635742
25;-13235.000000;542.000000;7082.483887
26;-13263.000000;543.000000;5578.125488
27;-13170.000000;539.000000;4014.534424
28;-12979.000000;532.000000;2408.314209
29;-12688.000000;520.000000;776.521057
30;-12275.000000;502.000000;-863.517822
31;-11727.000000;481.000000;-2494.387207
32;-11057.000000;453.000000;-4098.769531
33;-10263.000000;420.000000;-5659.628418
34;-9333.000000;382.000000;-7160.389160
35;-8276.000000;339.000000;-8585.116211
36;-7124.000000;293.000000;-9918.679688
37;-5935.000000;244.000000;-11146.922852
38;-4720.000000;193.000000;-12256.799805
39;-3456.000000;140.000000;-13236.524414
40;-2102.000000;86.000000;-14075.694336
41;-725.000000;30.000000;-14765.398438
42;618.000000;-26.000000;-15298.311523
43;1964.000000;-81.000000;-15668.776367
44;3343.000000;-136.000000;-15872.858398
45;4692.000000;-191.000000;-15908.390625
46;5936.000000;-243.000000;-15774.995117
47;7103.000000;-291.000000;-15474.089844
48;8250.000000;-337.000000;-15008.868164
49;9342.000000;-381.000000;-14384.272461
50;10294.000000;-420.000000;-13606.932617
51;11099.000000;-453.000000;-12685.105469
52;11791.000000;-482.000000;-11628.577148
53;12402.000000;-506.000000;-10448.568359
54;12922.000000;-527.000000;-9157.609375
55;13317.000000;-543.000000;-7769.407715
56;13557.000000;-553.000000;-6298.705078
57;13633.000000;-556.000000;-4761.117676
58;13561.000000;-554.000000;-3172.973145
59;13338.000000;-545.000000;-1551.135864
60;12992.000000;-531.000000;87.172638
61;12511.000000;-511.000000;1724.555420
62;11893.000000;-485.000000;3343.625732
63;11125.000000;-455.000000;4927.190918
64;10227.000000;-418.000000;6458.435059
65;9247.000000;-378.000000;7921.099121
66;8189.000000;-334.000000;9299.651367
67;7044.000000;-288.000000;10579.452148
68;5820.000000;-238.000000;11746.913086
69;4500.000000;-184.000000;12789.636719
70;3128.000000;-128.000000;13696.549805
71;1753.000000;-72.000000;14458.023438
72;381.000000;-15.000000;15065.970703
73;-1030.000000;42.000000;15513.934570
74;-2443.000000;99.000000;15797.161133
75;-3793.000000;154.000000;15912.643555
76;-5070.000000;208.000000;15859.155273
77;-6336.000000;260.000000;15637.263672
78;-7552.000000;309.000000;15249.326172
79;-8642.000000;353.000000;14699.460938
80;-9616.000000;394.000000;13993.506836
81;-10507.000000;430.000000;13138.960938
82;-11333.000000;464.000000;12144.896484
83;-12064.000000;493.000000;11021.870117
84;-12642.000000;516.000000;9781.806641
85;-13061.000000;534.000000;8437.873047
86;-13326.000000;545.000000;7004.340820
87;-13459.000000;551.000000;5496.431641
88;-13458.000000;551.000000;3930.158203
89;-13309.000000;545.000000;2322.151611
90;-13050.000000;534.000000;689.486755
91;-12677.000000;519.000000;-950.499390
92;-12180.000000;498.000000;-2580.392578
93;-11540.000000;473.000000;-4182.885254
94;-10760.000000;441.000000;-5740.961914
95;-9846.000000;403.000000;-7238.076660
96;-8792.000000;360.000000;-8658.333008
97;-7621.000000;313.000000;-9986.649414
98;-6398.000000;263.000000;-11208.920898
99;-5141.000000;211.000000;-12312.169922
100;-3851.000000;157.000000;-13284.678711
101;-2487.000000;101.000000;-14116.123047
102;-1079.000000;45.000000;-14797.672852
103;311.000000;-12.000000;-15322.091797
104;1681.000000;-69.000000;-15683.810547
105;3090.000000;-126.000000;-15878.988281
106;4474.000000;-182.000000;-15905.551758
107;5747.000000;-235.000000;-15763.220703
108;6924.000000;-284.000000;-15453.505859
109;8080.000000;-330.000000;-14979.694336
110;9196.000000;-375.000000;-14346.819336
111;10174.000000;-415.000000;-13561.600586
112;11000.000000;-449.000000;-12632.375977
113;11702.000000;-478.000000;-11569.011719
114;12316.000000;-503.000000;-10382.800781
115;12839.000000;-524.000000;-9086.338867
116;13239.000000;-540.000000;-7693.392090
117;13492.000000;-550.000000;-6218.751465
118;13580.000000;-554.000000;-4678.076172
119;13506.000000;-552.000000;-3087.726318
120;13287.000000;-543.000000;-1464.588745
121;12937.000000;-529.000000;174.100769
122;12462.000000;-509.000000;1810.941528
123;11844.000000;-484.000000;3428.552490
124;11084.000000;-453.000000;5009.756836
125;10190.000000;-417.000000;6537.764648
126;9206.000000;-376.000000;7996.350098
127;8143.000000;-332.000000;9370.024414
128;6998.000000;-286.000000;10644.202148
129;5762.000000;-235.000000;11805.353516
130;4433.000000;-181.000000;12841.147461
131;3073.000000;-126.000000;13740.584961
132;1710.000000;-70.000000;14494.117188
133;333.000000;-13.000000;15093.740234
134;-1077.000000;44.000000;15533.088867
135;-2486.000000;100.000000;15807.497070
136;-3827.000000;156.000000;15914.050781
137;-5118.000000;209.000000;15851.618164
138;-6387.000000;262.000000;15620.863281
139;-7596.000000;311.000000;15224.236328
140;-8687.000000;355.000000;14665.948242
141;-9659.000000;395.000000;13951.926758
142;-10543.000000;432.000000;13089.754883
143;-11364.000000;465.000000;12088.587891
144;-12085.000000;494.000000;10959.056641
145;-12663.000000;517.000000;9713.143555
146;-13074.000000;534.000000;8364.087891
147;-13336.000000;546.000000;6926.215332
148;-13460.000000;551.000000;5414.794434
149;-13445.000000;551.000000;3845.874756
